@RELATION cpu-medium

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL

@DATA
1,6,2,1036,103,114,90
2,1,0,2165,205,101,88
3,62,77,3806,258,166,85
4,5,0,4721,256,177,81
5,42,55,3949,249,244,79
6,5,1,1692,132,87,92
7,3,0,635,65,47,82
8,7,5,1341,240,120,90
9,159,40,2443,299,262,87
10,1,0,3322,271,170,86
11,9,3,1626,106,100,87
12,11,2,1687,76,115,93
13,2,1,5402,406,274,84
14,6,2,2040,121,112,92
15,172,113,1427,171,134,0
16,82,44,2342,156,323,94
17,37,49,4667,673,457,81
18,13,12,2859,459,215,91
19,24,32,419,41,27,83
20,67,90,1850,131,61,90
21,15,5,1795,343,209,88
22,4,0,1969,209,200,89
23,10,4,3734,212,168,87
24,11,6,4515,185,165,76
25,5,4,1568,68,102,92
26,8,3,3942,702,244,83
27,2,0,457,48,37,90
28,5,0,3300,395,219,89
29,0,0,408,62,45,98
30,1,0,2596,211,195,90
31,1,1,963,90,62,96
32,6,5,1860,128,103,92
33,3,2,1710,131,122,91
34,5,0,4901,508,330,87
35,13,8,4349,300,191,83
36,622,543,5572,480,297,73
37,28,23,6465,408,177,72
38,12,10,1783,102,78,90
39,8,2,3309,503,365,81
40,2,1,253,22,24,96
41,1,0,1276,29,31,97
42,57,55,1123,107,79,93
43,22,15,4679,409,258,82
44,38,30,5991,289,193,71
45,26,2,5404,475,246,67
46,5,3,3786,167,149,87
47,32,42,2331,242,212,83
48,1,0,1816,155,99,90
49,2,0,4228,206,186,86
50,2,1,986,73,54,96
51,0,0,255,32,32,91
52,40,11,3402,283,202,86
53,55,0,4652,302,223,52
54,14,4,1575,358,236,88
55,1,0,928,115,89,95
56,7,1,2319,207,94,76
57,2,1,2133,134,90,89
58,1,0,1372,66,41,94
59,9,8,470,129,81,96
60,32,26,3205,350,245,80
61,25,0,3346,198,131,76
62,16,14,1363,121,82,87
63,0,0,431,39,72,97
64,0,0,183,38,21,97
65,13,21,324,19,14,91
66,2,0,1240,87,83,0
67,13,3,1651,78,60,91
68,33,43,1613,161,110,92
69,9,1,3326,383,177,76
70,41,32,5200,185,121,80
71,2,1,174,11,24,99
72,2,0,534,75,53,85
73,31,38,1145,143,124,92
74,0,0,159,15,16,99
75,8,0,2956,409,371,86
76,2,1,3735,279,143,90
77,11,4,3794,340,304,80
78,56,62,1929,146,97,82
79,2,2,1424,133,101,95
80,23,32,3355,234,111,88
81,0,0,393,162,57,97
82,17,9,1048,124,69,76
83,1,0,958,117,45,96
84,3,3,1941,427,173,88
85,7,0,3758,508,978,79
86,1,1,857,90,44,96
87,40,54,844,28,33,96
88,0,0,222,30,22,97
89,4,0,2921,248,205,86
90,6,4,2573,189,118,90
91,16,14,2131,116,84,90
92,30,13,3962,617,514,79
93,9,2,3750,280,226,79
94,37,4,3499,388,117,80
95,60,71,2647,289,300,88
96,6,3,1005,63,60,93
97,10,10,3224,222,100,89
98,15,1,643,60,19,93
99,8,3,4100,391,383,84
100,68,77,2774,217,152,82
101,3,0,583,53,68,81
102,132,105,2007,177,139,91
103,10,6,3249,555,526,81
104,2,0,3099,180,116,91
105,4,3,1887,144,93,95
106,0,0,2772,148,221,90
107,64,82,2442,456,192,88
108,0,0,1162,230,83,95
109,4,0,4562,201,149,82
110,81,45,1479,180,199,0
111,1,0,2361,286,183,87
112,4,2,2421,581,170,80
113,26,39,1722,139,114,91
114,12,2,2763,366,256,76
115,3,1,2072,262,241,87
116,3,1,3662,256,187,80
117,8,6,2336,206,90,89
