@RELATION cpu_verysmall

@ATTRIBUTE id REAL
@ATTRIBUTE lread REAL
@ATTRIBUTE usr REAL

@DATA
1,6,90
2,1,88
3,62,85
4,5,81
5,42,79
6,5,92
7,3,82
8,7,90
9,159,87
10,1,86
11,9,87
12,11,93
13,2,84
14,6,92
15,172,0
16,82,94
17,37,81
18,13,91
19,24,83
20,67,90
21,15,88
22,4,89
23,10,87
24,11,76
25,5,92
26,8,83
27,2,90
28,5,89
29,0,98
30,1,90
31,1,96
32,6,92
33,3,91
34,5,87
35,13,83
36,622,73
37,28,72
38,12,90
39,8,81
40,2,96
41,1,97
42,57,93
43,22,82
44,38,71
45,26,67
46,5,87
47,32,83
48,1,90
49,2,86
50,2,96
51,0,91
52,40,86
53,55,52
54,14,88
55,1,95
56,7,76
57,2,89
58,1,94
59,9,96
60,32,80
61,25,76
62,16,87
63,0,97
64,0,97
65,13,91
66,2,0
67,13,91
68,33,92
69,9,76
70,41,80
71,2,99
72,2,85
73,31,92
74,0,99
75,8,86
76,2,90
77,11,80
78,56,82
79,2,95
80,23,88
81,0,97
82,17,76
83,1,96
84,3,88
85,7,79
86,1,96
87,40,96
88,0,97
89,4,86
90,6,90
91,16,90
92,30,79
93,9,79
94,37,80
95,60,88
96,6,93
97,10,89
98,15,93
99,8,84
100,68,82
101,3,81
102,132,91
103,10,81
104,2,91
105,4,95
106,0,90
107,64,88
108,0,95
109,4,82
110,81,0
111,1,87
112,4,80
113,26,91
114,12,76
115,3,87
116,3,80
117,8,89
118,31,92
119,7,85
120,0,88
121,9,95
122,7,90
123,18,72
124,21,93
125,7,95
126,2,99
127,14,75
128,1,86
129,33,72
130,5,87
131,1,99
132,88,62
133,5,84
134,0,85
135,15,89
136,12,89
137,0,92
138,4,91
139,5,91
140,7,81
141,6,90
142,15,85
143,18,81
144,0,97
145,45,63
146,7,85
147,3,96
148,47,0
149,21,91
150,36,94
151,0,96
152,1,97
153,53,72
154,1,91
155,11,86
156,15,97
157,2,96
158,2,91
159,14,81
160,3,91
161,17,87
162,5,85
163,0,91
164,54,0
165,1,95
166,24,0
167,8,93
168,20,83
169,51,92
170,41,91
171,14,89
172,1,90
173,29,89
174,35,89
175,2,91
176,12,69
177,1,86
178,2,96
179,26,83
180,18,73
181,18,93
182,0,95
183,0,97
184,0,98
185,0,93
186,48,89
187,0,97
188,2,81
189,10,79
190,37,91
191,9,82
192,0,92
193,4,93
194,33,88
195,116,84
196,5,93
197,8,89
198,9,86
199,22,76
