@relation metaData_small_allPerformanceValues

@attribute 'OpenML Data Set ID' numeric
@attribute NumberOfInstances numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfClasses numeric
@attribute Dimensionality numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute NumberOfBinaryFeatures numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassSize numeric
@attribute MajorityClassPercentage numeric
@attribute MinorityClassPercentage numeric
@attribute AutoCorrelation numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute CardinalityAtTwo numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtFour numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
1025,400,6,2,0.015,0,0,0,0,0,6,3,0,1,0.5,310,90,0.775,0.225,0.724311,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,2,3.333333,1.505545,0.924068,0.13,0.561551,0.951577,0.1025,0.673956,0.698226,0.225,0.219428,0.8819,0.125,0.660326,0.8819,0.125,0.660326,0.8819,0.125,0.660326,0.8819,0.125,0.660326,0.912778,0.115,0.682759,0.858566,0.1375,0.619245,0.8819,0.125,0.660326,0.912778,0.115,0.682759,0.858566,0.1375,0.619245,0.8819,0.125,0.660326,0.912778,0.115,0.682759,0.858566,0.1375,0.619245,?,?,?,?,3.333333,1.505545,2,5,25,100,200,90.338983,90.169492,0,91.864407,92.372881,91.355932,90,91.355932,89.661017,88.305085,85.932203,87.457627,84.576271,77.966102,88.644068,77.966102,79.830508,90,91.355932,90.677966,89.491525,89.830508
2,898,39,5,0.04343,898,22175,1,0.633173,6,33,4,0.153846,0.846154,0.102564,684,8,0.761693,0.008909,0.606466,348.504268,405.17327,4.648024,2.026983,1.198549,0.871208,-0.972384,0.07299,1263.094655,1871.399107,13.215477,3.761602,3.025695,10.505436,-0.40305,0.967385,21.22216,69.853385,1.637244,1.654731,901.263669,771.859043,12.741748,3.754644,7,0,1.636364,1.557606,0.872195,0.063474,0.82611,0.931591,0.246102,0.556959,0.865274,0.228285,0.450333,0.953591,0.072383,0.818065,0.812123,0.380846,0.341406,0.661207,0.181514,0.350641,0.593993,0.197105,0.267904,0.569269,0.218263,0.141642,0.636958,0.238307,0,0.593993,0.197105,0.267904,0.713366,0.19265,0.300865,0.696573,0.242762,-0.005217,0.593993,0.197105,0.267904,0.822151,0.171492,0.418951,0.778991,0.229399,0.094364,27.833333,25.553212,7,68,1.636364,1.557606,0,7,3400,81600,816000,93.307985,75.665399,0,87.680608,99.087452,0,86.539924,88.136882,0,95.361217,0.380228,96.121673,95.437262,84.790875,94.980989,77.56654,77.338403,92.243346,95.741445,94.828897,93.612167,92.471483
1026,155,9,2,0.058065,0,0,0,0,2,7,1,0.222222,0.777778,0.111111,106,49,0.683871,0.316129,0.655844,3.758065,2.086373,-0.786043,0.380558,2.180645,1.065827,-1.281027,0.216275,5.335484,3.10692,-0.291058,0.544841,2.180645,1.065827,-1.281027,0.216275,3.758065,2.086373,-0.786043,0.380558,5.335484,3.10692,-0.291058,0.544841,21,2,6.857143,6.517376,0.610512,0.348387,0.219944,0.82191,0.219355,0.514017,0.629284,0.296774,0.144674,0.635734,0.296774,0.144674,0.635734,0.296774,0.144674,0.635734,0.296774,0.144674,0.735945,0.316129,0.239664,0.494898,0.316129,0,0.659415,0.316129,0.288391,0.735945,0.316129,0.239664,0.494898,0.316129,0,0.659415,0.316129,0.288391,0.735945,0.316129,0.239664,0.494898,0.316129,0,0.659415,0.316129,0.288391,7.5,2.12132,6,9,6.857143,6.517376,2,21,189,1323,7938,79.534884,80,0,71.627907,69.302326,70.697674,73.023256,72.093023,70.697674,69.767442,68.372093,76.744186,71.627907,66.976744,73.953488,69.767442,73.953488,75.813953,72.093023,70.697674,68.372093,69.767442
4,57,17,2,0.298246,56,326,0.982456,0.336429,8,9,4,0.470588,0.529412,0.235294,37,20,0.649123,0.350877,0.75,9.412291,2.23551,2.046258,0.255076,2.160714,0.707795,-2.035406,-2.007217,38.039216,5.027701,13.193069,3.318064,3.831012,1.18797,-1.413442,-0.563056,4.421353,1.337455,-0.263439,0.15855,10.181866,4.034546,5.180464,0.80866,3,2,2.555556,0.527046,0.767568,0.210526,0.55814,0.944595,0.070175,0.845946,0.737838,0.315789,0.322325,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.805405,0.280702,0.410853,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,0.805405,0.280702,0.410853,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,0.805405,0.280702,0.410853,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,9.375,4.627171,3,17,2.555556,0.527046,2,3,255,2550,22950,90.666667,92,0,88,89.333333,90.666667,90.666667,92,78.666667,88,93.333333,81.333333,86.666667,70.666667,81.333333,66.666667,80,86.666667,92,86.666667,81.333333,85.333333
7,226,70,24,0.309735,222,317,0.982301,0.020038,0,70,61,0,1,0.871429,57,1,0.252212,0.004425,0.324444,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,2,2.542857,2.70633,0.871837,0.265487,0.685827,0.946542,0.380531,0.532923,0.758368,0.535398,0.305939,0.912599,0.269912,0.683088,0.912599,0.269912,0.683088,0.912599,0.269912,0.683088,0.920832,0.256637,0.699606,0.902972,0.29646,0.645328,0.795065,0.393805,0.533177,0.920832,0.256637,0.699606,0.902972,0.29646,0.645328,0.795065,0.393805,0.533177,0.920832,0.256637,0.699606,0.902972,0.29646,0.645328,0.795065,0.393805,0.533177,?,?,?,?,2.542857,2.70633,2,24,144,720,3600,72.758621,71.724138,0,78.62069,83.103448,0,80,82.758621,0,79.310345,81.724138,64.137931,68.275862,50,75.862069,27.586207,50,78.275862,82.758621,77.241379,66.551724,73.448276
9,205,26,6,0.126829,46,59,0.22439,0.011069,15,11,4,0.576923,0.423077,0.153846,67,3,0.326829,0.014634,0.632353,1447.091008,606.987934,1.359319,0.799581,3.255423,0.273539,-0.828945,-0.683122,13207.129353,7947.066342,5.305682,2.610862,25.219512,2.443522,-0.042854,0.073237,98.756585,6.886443,0.578648,0.681398,174.049268,41.642693,2.62328,1.391029,22,2,6,5.796551,0.825862,0.258537,0.666329,0.836849,0.419512,0.462467,0.693905,0.55122,0.21368,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.856696,0.312195,0.598015,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,0.856696,0.312195,0.598015,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,0.856696,0.312195,0.598015,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,61.333333,49.449349,23,186,6,5.796551,2,22,31806,2385450,140741550,64.727273,57.090909,0,71.636364,76.363636,0,68.363636,75.636364,0,73.454545,72,63.272727,73.090909,59.272727,69.818182,34.545455,45.818182,76.727273,77.454545,79.272727,69.454545,60.363636
10,148,19,4,0.128378,0,0,0,0,3,16,9,0.157895,0.842105,0.473684,81,2,0.547297,0.013514,0.503401,2.045045,1.018402,9.883463,2.326489,1.060811,0.313557,-0.504096,0.333795,2.601351,1.905023,29.749465,5.442362,1.060811,0.313557,-0.504096,0.333795,2.472973,0.836627,0.405021,1.203312,2.601351,1.905023,29.749465,5.442362,8,2,3,1.591645,0.827738,0.195946,0.623707,0.908328,0.155405,0.701482,0.771566,0.243243,0.531646,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.803504,0.243243,0.55,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,0.803504,0.243243,0.55,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,0.803504,0.243243,0.55,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,5,2.645751,3,8,3,1.591645,2,8,64,256,1024,84.761905,81.428571,0,79.047619,83.333333,0,85.238095,83.333333,0,84.285714,86.666667,73.333333,77.142857,74.285714,79.047619,54.761905,70.952381,73.809524,83.333333,82.380952,66.190476,73.333333
11,625,5,3,0.008,0,0,0,0,4,1,0,0.8,0.2,0,288,49,0.4608,0.0784,0.697115,3,1.415346,-1.300798,0,3,1.415346,-1.300798,0,3,1.415346,-1.300798,0,3,1.415346,-1.300798,0,3,1.415346,-1.300798,0,3,1.415346,-1.300798,0,3,3,3,0,0.923201,0.1648,0.702793,0.963095,0.104,0.807122,0.646919,0.376,0.302671,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,0.840682,0.1984,0.637396,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,0.840682,0.1984,0.637396,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,5,0,5,5,3,0,3,3,25,125,625,75.191257,90.054645,87.540984,90.273224,91.256831,0,88.852459,88.087432,0,83.715847,88.961749,75.081967,79.562842,60.546448,82.73224,46.448087,59.344262,76.721311,89.617486,80.765027,77.486339,77.26776
40971,1000,24,30,0.024,0,0,0,0,20,4,1,0.833333,0.166667,0.041667,80,6,0.08,0.006,0.970971,28.163592,15.448258,3.577998,1.138408,0.27053,0.250645,-1.2,-0.079356,500.5,288.819436,27.661414,3.987766,0.700472,0.417575,0.314157,0.459782,1.29028,0.755463,0.901985,0.962447,2.635917,1.053753,3.101899,1.438838,1000,2,261.75,492.299621,1,0,1,0.994198,0.106,0.88878,0.7596,0.84,0.086957,1,0,1,1,0,1,1,0,1,1,0,1,0.495879,0.92,0,0.859629,0.563,0.399156,1,0,1,0.495879,0.92,0,0.859629,0.563,0.399156,1,0,1,0.495879,0.92,0,0.859629,0.563,0.399156,333.1,231.382322,98,1000,261.75,492.299621,2,1000,1000000,793000000,457561000000,98.846154,94,0,98.615385,100,0,100,100,0,100,43.692308,97.615385,98.615385,4.615385,100,8.846154,17.692308,100,100,100,47.923077,8.846154
13,286,10,2,0.034965,9,9,0.031469,0.003147,0,10,4,0,1,0.4,201,85,0.702797,0.297203,0.568421,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11,2,4.3,2.983287,0.593327,0.300699,0.186263,0.694966,0.276224,0.282776,0.620369,0.297203,0.25571,0.580685,0.276224,0.128788,0.580685,0.276224,0.128788,0.580685,0.276224,0.128788,0.580626,0.297203,0.210868,0.48446,0.325175,-0.01651,0.543108,0.363636,0.072876,0.580626,0.297203,0.210868,0.48446,0.325175,-0.01651,0.543108,0.363636,0.072876,0.580626,0.297203,0.210868,0.48446,0.325175,-0.01651,0.543108,0.363636,0.072876,?,?,?,?,4.3,2.983287,2,11,77,462,2310,72.048193,72.048193,0,67.710843,66.26506,68.915663,68.915663,71.566265,73.493976,74.698795,73.975904,71.084337,71.084337,67.710843,69.39759,71.084337,68.433735,71.325301,71.566265,70.60241,65.301205,69.156627
