@relation 'amazon-commerce-reviews-weka.filters.unsupervised.attribute.Remove-V-R7,386,388,448,678,821,889,1011,1295,2115,6597,6629,6707,6740,6755,6793,6896,6921,6924,6939,6966,6977,6995,7024,7468,7700,7976,8058,8977,9200,9967,10001'

@attribute V7 numeric
@attribute V386 numeric
@attribute V388 numeric
@attribute V448 numeric
@attribute V678 numeric
@attribute V821 numeric
@attribute V889 numeric
@attribute V1011 numeric
@attribute V1295 numeric
@attribute V2115 numeric
@attribute V6597 numeric
@attribute V6629 numeric
@attribute V6707 numeric
@attribute V6740 numeric
@attribute V6755 numeric
@attribute V6793 numeric
@attribute V6896 numeric
@attribute V6921 numeric
@attribute V6924 numeric
@attribute V6939 numeric
@attribute V6966 numeric
@attribute V6977 numeric
@attribute V6995 numeric
@attribute V7024 numeric
@attribute V7468 numeric
@attribute V7700 numeric
@attribute V7976 numeric
@attribute V8058 numeric
@attribute V8977 numeric
@attribute V9200 numeric
@attribute V9967 numeric
@attribute Class {Agresti,Ashbacher,Auken,Blankenship,Brody,Brown,Bukowsky,CFH,Calvinnme,Chachra,Chandler,Chell,Cholette,Comdet,Corn,Cutey,Davisson,Dent,Engineer,Goonan,Grove,Harp,Hayes,Janson,Johnson,Koenig,Kolln,Lawyeraau,Lee,Lovitt,Mahlers2nd,Mark,McKee,Merritt,Messick,Mitchell,Morrison,Neal,Nigam,Peterson,Power,Riley,Robert,Shea,Sherwin,Taylor,Vernon,Vision,Walters,Wilson}

@data
2,0,0,0,0,0,0,0,0,0,6,5,1,0,1,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,McKee
0,0,10,0,0,0,0,0,0,0,10,7,5,0,0,2,1,1,0,0,2,2,0,0,3,0,0,0,0,0,0,Engineer
7,0,0,0,0,0,0,0,0,0,10,7,3,2,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Davisson
3,0,0,0,0,0,0,0,0,0,17,9,5,7,2,4,3,2,2,2,10,10,4,4,0,0,0,0,0,0,2,Lovitt
4,0,0,0,0,0,0,0,0,0,11,14,2,2,2,3,3,3,3,3,0,0,0,3,1,1,0,1,0,0,1,Mitchell
0,0,0,0,0,0,0,0,0,0,12,7,11,4,0,1,0,0,0,0,3,4,2,3,0,0,7,5,0,0,0,Peterson
0,0,0,0,0,0,0,0,1,0,6,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark
1,0,0,1,1,0,0,0,0,0,9,11,2,6,1,3,0,0,2,1,3,3,3,0,0,0,0,0,0,0,0,CFH
6,0,0,0,0,0,0,0,0,0,11,1,3,0,5,0,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,Goonan
0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Lawyeraau
1,0,0,0,1,0,0,0,0,0,9,2,5,10,1,3,0,0,1,1,1,1,5,0,0,0,3,0,0,0,0,Hayes
2,0,0,0,0,0,0,0,0,1,13,9,2,11,2,1,0,0,1,1,3,3,6,0,0,0,0,0,3,0,0,Koenig
6,0,0,0,0,0,0,0,0,0,21,9,0,0,4,7,6,6,6,6,0,0,0,2,0,0,0,0,0,2,0,Power
5,0,0,0,0,0,0,0,0,0,23,7,3,2,3,9,0,0,6,6,2,2,1,1,0,0,0,0,0,0,0,Grove
1,0,0,0,0,0,0,0,0,0,19,13,6,8,1,6,0,0,4,4,0,0,3,2,0,0,0,0,2,0,0,Lovitt
2,0,0,0,0,0,0,0,0,0,26,9,10,4,2,7,0,0,6,6,1,1,2,2,0,0,1,1,0,0,0,Grove
9,0,0,0,0,0,0,0,0,0,19,17,0,4,6,0,3,3,0,0,2,2,2,0,0,0,0,0,0,0,0,Chandler
3,0,0,0,0,1,0,0,0,0,6,9,5,2,2,0,4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,Shea
