@relation 'letter-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-13'

@attribute -0.438width-0.427x-box-0.417onpix-0.4high-0.4y-box... numeric
@attribute 0.509y-bar+0.472x2ybr+0.457xegvy-0.33x-bar-0.309yegvx... numeric
@attribute -0.551y2bar+0.452x2bar-0.443xybar+0.431x-ege+0.169x2ybr... numeric
@attribute -0.496xy2br+0.416x-bar-0.394y2bar+0.317xybar-0.313x2bar... numeric
@attribute -0.619y-ege+0.455xy2br+0.358xybar+0.239y-box-0.233onpix... numeric
@attribute 0.665yegvx+0.414x-bar+0.287xybar+0.287xegvy+0.265y-bar... numeric
@attribute 0.527xy2br-0.522x2bar+0.351x-ege-0.279high-0.275y-box... numeric
@attribute 0.539x2bar+0.519xybar-0.29xegvy+0.288y-ege-0.248high... numeric
@attribute -0.657x-bar+0.414yegvx-0.291xegvy-0.263x2ybr+0.203y-bar... numeric
@attribute 0.542y2bar-0.35y-ege-0.316high+0.296width+0.289yegvx... numeric
@attribute 0.646xegvy-0.417y-bar-0.35x2ybr+0.275xybar-0.196y2bar... numeric
@attribute -0.581onpix+0.514x-box+0.314y-ege-0.264high+0.233y-box... numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
1.832282,0.573208,-2.202803,0.313924,-0.797431,-0.364154,0.696577,0.980028,-0.355393,0.072281,-0.22785,-0.143909,Z
-0.197269,0.116381,0.495226,-1.36638,-0.743354,1.210021,-0.26301,0.114362,1.135865,-0.652889,0.362293,-0.133972,P
-2.041912,-2.046146,-2.384152,-0.370565,0.502323,0.254124,-1.033345,0.855447,1.181376,1.100127,-1.101782,0.234717,S
-0.256712,-0.50763,2.676914,-0.184558,1.399644,-0.607835,-2.136548,0.404386,-0.521768,-0.479499,0.215086,-0.537255,H
-1.067311,0.066046,-1.052589,0.117271,0.833561,-0.356124,0.946806,0.370276,-0.038562,0.878644,0.215776,0.084092,H
0.669045,3.023186,-1.382706,1.083423,0.220514,0.122278,-0.912773,-0.117365,1.224794,-0.18682,0.210627,-0.608213,F
-2.013167,0.584148,-0.399216,0.784116,1.455218,0.128897,0.226462,-0.608187,0.384537,0.495763,-0.533802,-0.099649,N
3.823225,-0.55897,1.516535,0.171286,-0.894287,0.347359,-0.015348,0.899473,1.44623,-0.543687,-0.237142,0.437729,R
-1.954897,-0.381382,0.543343,0.866491,1.140997,-0.096465,1.547349,0.122555,0.817063,-0.063805,-1.208885,-0.508821,M
3.685632,-0.219089,0.799844,-0.286001,-1.12303,-0.868432,-0.479166,0.967666,0.546343,0.684593,0.180414,-0.402643,D
1.592519,1.409564,1.900658,0.314302,0.802779,0.954956,0.220262,-1.316483,-1.760823,0.021946,-0.881606,0.532703,V
-0.705153,-3.491694,-1.005623,2.07478,1.113363,1.026244,-1.328573,0.054499,-1.065439,-1.12459,0.073867,-0.043932,A
-0.313391,-2.36521,0.57278,-0.203845,-1.220726,2.050477,-0.30725,-0.139488,1.648478,-0.103969,-1.271656,-0.000121,K
