@relation BayesNet

@attribute 'OpenML Data Set ID' numeric
@attribute BayesNet>TS:8 numeric
@attribute minimum_achievable_error numeric
@attribute learning_rate numeric
@attribute decay_rate numeric

@data
15,0.934524,0.02203,1.003428,-0.999898
42,0.666667,0,1.000099,-0.390307
2,0.652854,0,1.000355,-0.379316
30,0.760949,0.05722,1.000006,-0.722784
32,0.488823,0.018729,1.000026,-0.291738
38,0.92053,0.02914,1.002319,-1
44,0.738111,0.10092,0.999998,-0.853198
3,0.611406,0.113178,1.000009,-0.523305
29,0.68962,0,1.004435,-0.792194
11,0.541446,0,1.000064,-0.220629
37,0.608766,0.00174,1.000703,-0.243132
28,0.543224,0,1.000045,-0.326931
24,0.825231,0.057936,0.998216,-0.999628
23,0.376271,0.087353,1.000279,-0.142289
50,0.555556,0,1.001225,-0.217442
54,0.361923,0.000008,0.999934,-0.136713
181,0.321405,0.392621,0.99972,-0.391171
182,0.904286,0.174296,0.999995,-0.692773
57,0.868653,0.030327,0.999765,-0.826893
183,0.156568,0.75296,0.999966,-0.639617
188,0.336645,0,1.000474,-0.125607
311,0.881915,0,1.001041,-0.650371
316,0.797107,0.018936,1.004887,-0.999998
310,0.855674,0.019714,1.002711,-1
312,0.667128,0.223461,1.000493,-0.999942
334,0.476033,0.000974,1.001797,-0.174376
333,0.620536,0,1.00517,-0.247711
335,0.702703,0,1.000941,-0.607772
378,0.53275,0.270714,1.000032,-0.734462
375,0.320931,0.012557,0.999997,-0.200047
381,0.533511,0.280483,1.000072,-0.763575
382,0.17344,0.667681,1.000126,-0.805005
451,0.772277,0,1.001436,-0.743161
458,0.904286,0,1.000255,-0.703153
469,0.166667,0.79429,0.987469,-1
679,0.366235,0.038217,1.000567,-0.114786
470,0.608466,0,1.001062,-0.174678
715,0.661692,0,0.99943,-0.273984
717,0.652661,0.000584,1.000284,-0.398987
718,0.557214,0,0.999135,-0.275787
720,0.569228,0.259914,1.00005,-0.999999
722,0.60993,0.016628,1.000017,-0.379325
723,0.462687,0,0.999876,-0.261084
725,0.627517,0.10225,0.999962,-0.660929
734,0.634587,0.268115,0.992093,-1
728,0.902096,0.003323,1.006457,-1
735,0.74822,0.131479,0.99025,-1
737,0.614791,0.26788,1.00003,-0.717286
742,0.532673,0,0.998872,-0.280355
741,0.528049,0,1.001162,-0.22244
743,0.508458,0.000045,0.999219,-0.25913
749,0.512376,0,0.997835,-0.255395
750,0.502475,0,1.001541,-0.137848
752,0.508847,0.339247,1.000011,-0.578615
757,0.765094,0.000372,1.000682,-0.365659
761,0.796461,0.125022,1.000184,-0.999999
766,0.49505,0,0.99891,-0.257462
772,0.547018,0.43953,1.006016,-1
774,0.518797,0.083649,1.000834,-0.166865
779,0.555693,0,0.998882,-0.282185
792,0.782178,0,1.001116,-0.344915
795,0.498747,0.08422,1.000843,-0.161636
799,0.548507,0.000437,0.999775,-0.25382
