name,BayesNet, NaiveBayes, NaiveBayesMultinomial, GaussianProcesses, LibSVM, LinearRegression, Logistic, MultilayerPerceptron, SGD, SimpleLinearRegression, SimpleLogistic, VotedPerceptron, IBk, KStar, DecisionTable, JRip, M5Rules, OneR, PART, ZeroR, DecisionStump, J48, LMT, M5P, REPTree, RandomForest, RandomTree
abalone, 24.75, 23.25, -1.0, -1.0, 23.15, -1.0, 26.77, 26.79, -1.0, -1.0, 27.01, -1.0, 19.56, 24.2, 26.31, 19.1, -1.0, 24.78, 20.28, 16.5, 21.16, 21.21, 27.15, -1.0, 25.42, 24.9, 19.37
car, 83.28, 83.33, -1.0, -1.0, 87.96, -1.0, 92.25, 97.92, -1.0, -1.0, 92.42, -1.0, 88.25, 85.42, 86.52, 82.99, -1.0, 70.02, 94.73, 70.02, 70.02, 89.06, 92.88, -1.0, 85.65, 92.3, 81.89
germancredit, 72.1, 72.8, -1.0, -1.0, 69.1, -1.0, 73.7, 72.6, 74.5, -1.0, 73.4, 70.0, 67.9, 67.9, 69.3, 70.9, -1.0, 66.7, 71.2, 70.0, 70.0, 71.5, 73.4, -1.0, 71.7, 74.3, 66.4
krvskp, 87.98, 87.89, -1.0, -1.0, 92.21, -1.0, 97.47, 98.94, 96.34, -1.0, 96.34, 92.8, 93.12, 94.27, 94.99, 98.69, -1.0, 67.43, 98.97, 52.22, 66.05, 99.06, 99.41, -1.0, 98.34, 98.5, 94.06
madelon, 60.88, 59.08, 60.31, -1.0, 50.0, -1.0, 54.58, 57.58, 53.38, -1.0, 61.77, 58.65, 55.27, 50.0, 66.73, 69.65, -1.0, 52.5, 57.19, 50.0, 61.08, 63.58, 67.31, -1.0, 69.31, 64.73, 53.42
secom, 90.68, 35.74, -1.0, -1.0, 93.36, -1.0, 84.75, 91.58, 90.87, -1.0, 93.36, 93.36, 91.38, 93.24, 93.11, 92.34, -1.0, 92.72, 90.75, 93.36, 93.36, 90.17, 93.36, -1.0, 93.36, 93.36, 87.94
semeion, 85.62, 86.13, 84.68, -1.0, 91.53, -1.0, 85.94, 92.03, -1.0, -1.0, 90.52, -1.0, 90.33, 90.65, 57.88, 67.29, -1.0, 19.15, 73.51, 10.11, 19.77, 72.07, 90.52, -1.0, 67.48, 93.41, 62.21
shuttle, 99.39, 92.33, -1.0, -1.0, 97.19, -1.0, 96.74, 99.66, -1.0, -1.0, 95.88, -1.0, 99.92, 99.88, 99.75, 99.94, -1.0, 94.68, 99.97, 78.6, 86.89, 99.95, 99.92, -1.0, 99.95, 99.98, 99.96
waveform, 79.82, 79.94, -1.0, -1.0, 86.7, -1.0, 86.34, 83.66, -1.0, -1.0, 86.68, -1.0, 71.94, 71.96, 73.18, 77.84, -1.0, 53.16, 76.64, 33.84, 56.3, 74.84, 86.68, -1.0, 76.04, 85.06, 72.58
winequality, 47.0, 44.26, 39.77, -1.0, 53.51, -1.0, 53.49, 54.57, -1.0, -1.0, 53.76, -1.0, 58.33, 59.23, 52.25, 51.43, -1.0, 45.43, 53.35, 44.88, 44.88, 52.98, 54.51, -1.0, 54.08, 65.03, 54.45
yeast, 56.0, 57.28, 32.61, -1.0, 38.81, -1.0, 57.75, 57.41, -1.0, -1.0, 57.95, -1.0, 49.93, 50.07, 54.04, 56.81, -1.0, 39.82, 52.09, 31.2, 40.7, 54.72, 57.95, -1.0, 55.93, 58.76, 47.3

