# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 212552255
# output
#   file = o1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.00234437
# Diagonal elements of inverse mass matrix:
# 1.78476e-005, 2.07457e-005, 1.69872e-005, 3.41313e-005, 3.31942e-005, 1.36465e-005, 6.73486e-005, 4.85006e-005, 5.78233e-005, 1.59139e-005, 0.000110902, 3.94422e-005, 3.77792e-005, 5.74593e-005, 5.41138e-005, 1.5576e-005, 1.75766e-005, 1.42482e-005, 1.52092e-005, 2.87072e-005, 1.91894e-005, 1.00146e-005, 0.00013996, 2.2489e-005, 2.65561e-005, 1.42136e-005, 2.65245e-005
-780.338,0.872927,0.00234437,7,181,1,793.705,1.18143,1.01095,0.354499,0.414063,3.97976,3.90433,-0.255301,1.87982,1.96331,-1.63392,-0.257635,1.7744,-0.856374,-1.59583,1.3088,1.05136,0.263633,0.212161,0.796294,1.70123,-1.53652,0.000817929,1.75412,-1.17752,-0.834027,1.40367,1.57191
-780.885,0.897872,0.00234437,7,235,1,792.296,1.18105,1.01139,0.354487,0.414001,3.97751,3.90562,-0.25529,1.88043,1.9637,-1.6342,-0.256418,1.77452,-0.856083,-1.59532,1.30828,1.05127,0.264118,0.212193,0.795796,1.70103,-1.53687,0.000735445,1.75617,-1.1776,-0.834439,1.40393,1.57223
-780.592,0.718367,0.00234437,7,245,1,790.993,1.18049,1.01136,0.354349,0.413755,3.97756,3.90908,-0.256465,1.8808,1.96368,-1.6341,-0.256563,1.77461,-0.856456,-1.59481,1.30779,1.05091,0.26334,0.212146,0.795995,1.7001,-1.53759,0.000860364,1.75566,-1.17799,-0.834929,1.40379,1.57164
-782.627,0.952188,0.00234437,7,251,1,794.606,1.18083,1.01194,0.354453,0.413039,3.97597,3.90828,-0.255832,1.88023,1.96335,-1.63353,-0.258233,1.77474,-0.857459,-1.59549,1.30718,1.05178,0.263258,0.212768,0.796478,1.69924,-1.53705,0.00112161,1.75663,-1.17737,-0.834811,1.40354,1.57125
-782.375,0.601395,0.00234437,8,286,1,801.907,1.18105,1.01243,0.354499,0.413465,3.97572,3.91006,-0.256594,1.8802,1.96347,-1.63354,-0.256527,1.77554,-0.857484,-1.59335,1.30798,1.05227,0.262671,0.213553,0.796284,1.69843,-1.53673,0.00155261,1.75583,-1.17762,-0.835087,1.40321,1.56957
-778.594,0.893891,0.00234437,8,311,1,793.327,1.18102,1.01189,0.354934,0.412782,3.97582,3.91266,-0.256418,1.87937,1.9609,-1.63285,-0.257922,1.77631,-0.855916,-1.59216,1.30886,1.05137,0.262357,0.212502,0.796312,1.69741,-1.53711,0.00103674,1.75128,-1.17848,-0.835974,1.40276,1.57086
-777.955,0.818179,0.00234437,6,88,1,797.303,1.18054,1.01199,0.354915,0.412801,3.97546,3.91295,-0.256415,1.87899,1.96043,-1.63254,-0.257788,1.77626,-0.855891,-1.5926,1.30928,1.05107,0.262394,0.212522,0.796243,1.69732,-1.53724,0.000792161,1.75113,-1.17849,-0.836231,1.40274,1.57108
-775.711,0.995475,0.00234437,7,221,1,789.589,1.17939,1.01091,0.355078,0.413262,3.97499,3.91321,-0.253599,1.87722,1.96099,-1.63176,-0.253665,1.77785,-0.856521,-1.59288,1.30877,1.05058,0.261239,0.213479,0.796549,1.69812,-1.53678,0.000736131,1.75066,-1.17843,-0.837616,1.40312,1.57049
-775.072,0.738095,0.00234437,6,126,1,788.22,1.17969,1.01111,0.35506,0.413471,3.9754,3.91233,-0.254604,1.87819,1.96039,-1.6319,-0.25329,1.77803,-0.856314,-1.59224,1.30871,1.05036,0.261251,0.213168,0.796709,1.69811,-1.53655,0.000604331,1.75028,-1.17809,-0.837061,1.40265,1.57046
-773.086,0.804878,0.00234437,7,164,1,788.473,1.17956,1.01058,0.355784,0.413946,3.9651,3.91368,-0.254528,1.87498,1.96034,-1.63144,-0.252414,1.77821,-0.856954,-1.59445,1.30753,1.04994,0.260865,0.215208,0.795854,1.69882,-1.53704,0.000365898,1.74891,-1.17909,-0.837024,1.40174,1.56791
