# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 337369728
# output
#   file = o12c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.000199052
# Diagonal elements of inverse mass matrix:
# 0.0848875, 82.2069, 2.88142, 10.286, 1.70956, 100.463, 0.755802, 79.2208, 20.8127, 28.4426, 8.70836, 24.5582, 28.4211, 17.4578, 28.35, 8.71885, 10.8325, 8.4134, 13.4067, 0.886328, 19.9415, 28.342, 69.8932, 20.5752, 7.27372, 2.89654, 0.0499277
14.1484,0.841092,0.000199052,10,1023,0,-1.68885,2.39483,31.8412,-6.92784,0.195656,-10.2487,-33.3158,0.0818195,-21.5638,-12.5522,-21.7141,10.3222,-5.58291,37.6278,21.8561,-40.2247,33.0899,16.3069,-4.27002,-13.9192,5.75735,2.95711,-10.0166,-2.10412,-5.53871,16.8433,-22.1493,0.152491
14.0481,0.992098,0.000199052,10,1023,0,7.91615,2.50618,33.4559,-7.16116,0.173241,-10.0666,-33.2886,0.105163,-21.8821,-13.1698,-21.2376,9.35602,-6.53008,38.7465,21.9148,-39.0844,32.6381,16.1908,-5.17293,-13.118,5.66234,2.80729,-11.2612,0.98655,-3.25944,16.4831,-21.8236,0.152532
15.1559,0.99579,0.000199052,10,1023,0,-2.83962,2.47042,35.0692,-7.05831,0.171913,-9.8394,-34.0536,0.137659,-22.0626,-13.1288,-20.6841,9.77999,-6.64678,38.5816,22.5767,-38.7698,32.5731,16.2882,-5.38116,-13.1705,5.65594,2.82262,-11.0041,0.088606,-4.55397,16.6729,-21.6932,0.154743
13.3878,0.858026,0.000199052,10,1023,0,-0.75717,2.47042,34.9907,-7.09993,0.297719,-9.87732,-34.76,0.0678379,-21.6422,-13.0991,-20.1648,10.0029,-6.59268,38.2983,22.9847,-39.0264,32.6281,16.0904,-5.52976,-12.797,5.71303,2.48796,-11.0588,-0.408104,-3.90687,16.732,-21.6767,0.152332
14.4239,0.994088,0.000199052,10,1023,0,-1.193,2.4771,34.9663,-7.15972,0.355684,-9.86804,-34.905,0.0472795,-21.6298,-13.234,-20.2125,9.91192,-6.64949,38.3755,23.0548,-39.1235,32.7341,16.1096,-5.6125,-12.8578,5.69106,2.22025,-11.2656,-0.362191,-4.05951,16.7243,-21.5465,0.15173
15.1173,0.764574,0.000199052,10,1023,0,-2.4785,2.45908,35.0286,-6.9958,0.821773,-9.59456,-34.3232,0.0194839,-20.9583,-13.4334,-20.0959,9.66225,-6.2852,39.2451,22.3538,-39.6356,33.2095,16.1609,-5.75094,-11.855,5.63725,1.88468,-11.2202,-1.18071,-4.84757,16.5818,-21.7147,0.151879
14.9321,0.862807,0.000199052,10,1023,0,-4.27728,2.4764,35.133,-7.06794,1.05872,-9.60558,-35.2212,0.0155531,-21.8177,-12.9632,-20.0505,9.77214,-6.12518,38.6553,22.8386,-39.3458,33.2796,15.8208,-5.57056,-11.5956,5.61474,2.49891,-11.3216,-2.36686,-4.98734,16.7362,-21.9709,0.152375
14.9732,0.997039,0.000199052,10,1023,0,-3.94505,2.52,35.187,-6.91478,0.745714,-9.43287,-36.0796,0.0229866,-22.3557,-12.2774,-20.1779,9.22711,-6.27498,37.9221,22.8268,-39.896,33.5964,15.9043,-5.3937,-11.4168,5.55925,2.82257,-11.3998,-2.68729,-4.81176,17.0233,-22.3844,0.149313
14.9688,0.971248,0.000199052,10,1023,0,-5.03754,2.5233,34.8948,-6.75527,0.572335,-9.50021,-35.443,0.0304515,-22.3622,-12.5341,-20.3571,9.30127,-6.24691,38.1379,23.1223,-39.943,33.3204,15.7935,-5.39504,-11.6145,5.52925,2.6627,-11.1154,-2.29786,-4.62613,16.9907,-22.4318,0.149885
