# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 222603260
# output
#   file = o9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.0108471
# Diagonal elements of inverse mass matrix:
# 0.631591, 0.175933, 0.688782, 0.431911, 0.855627, 24.9676, 0.213445, 0.804219, 0.0377492, 4.50539, 0.233032, 0.722116, 0.0080491, 0.888599, 0.0961806, 0.0538485, 0.618527, 0.242013, 0.912611, 0.0631067, 0.0565903, 0.737144, 0.00247864, 0.285378, 0.0873592, 0.0415251, 0.0809386
8.23776,0.855483,0.0108471,5,41,1,6.71918,0.292644,1.05836,1.11937,0.0123207,1.06994,12.1549,0.121746,1.07449,1.06607,6.45934,-0.417562,1.74954,0.112976,-0.0995894,0.806854,0.0424808,-0.488749,0.686758,-1.44605,0.647855,0.781715,0.538974,0.0955889,-0.397747,0.700628,0.338094,0.113915
4.01138,0.680012,0.0108471,8,255,0,4.19154,0.147512,1.2973,-1.64795,0.561102,0.577484,5.00094,1.38952,1.41402,0.978266,5.27634,-1.01408,1.41512,0.271854,2.17043,0.838853,-0.102408,-0.122939,1.14606,0.267514,0.333147,0.431441,0.740466,0.0937466,-0.1266,1.03351,0.491846,0.0727341
1.99756,0.280183,0.0108471,9,511,0,16.4199,1.48387,0.311348,1.03978,0.0312778,1.26877,19.61,0.364356,-1.2254,1.27453,1.07342,-1.07641,0.829844,0.153096,-0.0988647,0.973383,0.446269,0.461521,1.59274,0.667029,0.0554909,0.840605,-0.151658,0.12841,0.0518587,1.24674,0.737727,0.129902
3.15503,0.699574,0.0108471,9,511,0,11.8353,0.682209,0.519821,0.641772,-0.53444,1.11768,0.706688,1.39745,1.61702,0.983069,8.6924,-1.43988,0.308284,0.156763,0.990219,0.950442,0.544448,0.208592,1.92408,-2.18021,0.69373,0.425083,-1.14121,0.163667,0.16374,1.01597,0.177545,0.100995
3.23188,0.760794,0.0108471,8,255,0,21.5817,-0.735317,0.325774,0.655428,-0.0654853,1.12455,11.8069,1.37366,1.87584,1.36259,7.33321,-1.12381,1.59766,0.17972,-0.8724,0.822597,0.0937552,1.21306,1.17568,-1.05013,0.508294,0.927063,-0.759946,0.125837,0.473733,1.45202,0.203411,0.102843
4.27042,0.976606,0.0108471,8,463,1,16.8201,-0.593239,0.472351,1.05682,-0.198036,1.54432,12.4821,1.35179,1.42568,1.39966,6.00387,-1.18741,2.23338,0.116065,-1.00353,0.818503,-0.00358083,1.52099,1.21106,-1.14636,0.643736,0.819749,0.0497089,0.0992768,-0.102116,1.34319,0.204951,0.0864822
3.07612,0.805248,0.0108471,8,255,0,10.6567,0.274264,-0.148926,1.92456,-0.526956,1.25175,4.49309,1.29359,1.22562,1.21258,8.35754,-1.2963,0.764965,0.325606,0.281071,0.640209,0.211046,0.881318,0.730345,-2.13133,0.385046,0.900973,0.696952,0.0942538,-0.973482,1.30312,0.331169,0.112112
2.75805,0.58809,0.0108471,7,252,1,9.84168,-1.14912,0.181722,0.545707,0.00680179,2.03777,7.06725,0.195348,1.25953,1.21603,5.30906,-1.31022,0.913988,0.184412,1.35734,0.410773,0.150711,1.64107,0.872954,-1.46507,0.623249,0.73636,-0.248056,0.0774895,-0.383197,1.72115,0.674819,0.129174
4.0824,0.962659,0.0108471,9,511,0,8.6654,-1.04035,0.51507,1.53908,0.25361,2.23584,7.22247,0.302989,1.26242,1.15763,7.8589,-1.52059,1.0713,0.115451,-0.720865,0.980539,0.0527151,0.978965,1.57406,0.0149799,0.775823,0.763385,0.24573,0.13763,0.636512,1.84146,0.334916,0.0794904
1.7292,0.514587,0.0108471,8,255,0,12.3881,-1.00156,0.78706,1.38832,0.216733,1.91311,9.08169,0.516511,1.48131,1.24859,6.33309,-1.14113,0.800159,0.159719,-0.0456838,0.864644,0.210104,1.04373,1.5778,0.959687,0.593082,0.55787,-0.233769,0.155546,0.516112,1.93305,0.0958035,0.0719511
-0.234725,0.915844,0.0108471,9,511,0,15.5208,1.54705,-0.0177407,1.25252,0.216017,-0.0956535,10.0974,0.467218,-0.378785,0.769721,3.55879,-0.821955,1.69314,0.239554,1.63423,0.937576,0.299383,-0.720815,1.09166,-2.9611,0.345403,0.464082,0.973344,0.0462918,-0.653932,0.108089,0.874366,0.139476
1.29304,0.441628,0.0108471,6,113,1,13.806,1.63588,0.0253281,1.16505,0.236851,-0.115014,10.9896,0.565084,-0.422022,0.753083,3.32631,-0.901085,1.60314,0.237403,1.54368,0.891917,0.33081,-0.961236,1.18369,-2.6298,0.339607,0.387181,0.76431,0.0560572,-0.579806,0.140705,0.815169,0.130442
5.28886,0.898352,0.0108471,8,511,0,10.3776,0.0549185,0.96745,1.2797,0.340064,3.31712,7.2846,0.569381,0.0104207,0.903005,7.82874,-1.30108,0.699511,0.168408,-1.30551,0.972141,0.20699,-0.795632,1.31077,-1.7646,0.778876,0.370433,0.571561,0.050131,0.619962,1.56169,0.418648,0.0911276
3.70664,0.847703,0.0108471,9,511,0,9.62494,0.764587,-0.0890775,0.873875,0.657299,-1.25705,5.8891,1.65985,1.34537,1.07273,6.96569,-0.676801,0.525056,0.243948,1.39084,1.13822,0.29715,1.46654,1.70175,-0.874506,0.15937,0.589759,0.504385,0.150734,-0.873012,0.345178,0.56908,0.105218
3.54509,0.917204,0.0108471,7,220,1,7.23634,1.07182,-0.158344,2.00223,0.430895,-0.895533,10.5798,0.971511,1.23133,1.25301,6.86378,-1.0643,1.44019,0.235035,2.22864,1.01353,0.242505,1.86679,1.27661,-1.41843,0.0165205,0.563832,-0.409433,0.181755,-0.452359,0.60922,0.384485,0.120414
2.93991,0.690115,0.0108471,6,116,1,9.57836,1.18263,-0.109896,1.91873,0.42432,-0.915558,10.3125,0.960392,1.14602,1.28551,6.63267,-1.09857,1.49631,0.225982,2.21913,0.981695,0.233889,1.64277,1.22926,-1.44446,0.00869564,0.531102,-0.34568,0.186179,-0.459836,0.597758,0.358324,0.122016
