# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 216433608
# output
#   file = o3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.0104206
# Diagonal elements of inverse mass matrix:
# 1.32445, 1.43398, 1.00355, 1.07345, 1.71643, 1.33557, 0.178372, 0.727218, 0.8116, 20.8496, 0.2537, 0.0407691, 4.18031, 0.216917, 0.00759749, 0.747556, 0.0715586, 0.0577856, 0.25836, 1.00529, 0.0790404, 0.050814, 0.00268381, 0.304713, 0.0834841, 0.0393361, 0.0992236
1.30804,0.862702,0.0104206,8,505,1,8.3837,0.252181,0.146707,1.78734,0.959903,1.21724,1.40103,-0.0615778,1.07959,1.6446,4.40508,0.765217,0.492136,5.26674,-0.309705,0.134575,1.2324,0.711039,-0.127814,1.45424,-1.83447,0.316324,0.792006,0.0865561,-0.0364315,0.462715,0.310103,0.0652483
-1.49656,0.67456,0.0104206,9,511,0,11.7476,0.518823,0.810853,0.520259,2.81413,0.234576,0.291843,0.743727,1.09468,-0.709962,9.82999,1.35516,1.27565,5.92469,-1.16925,0.219381,-0.864635,0.866629,-0.0273643,1.56869,0.151293,0.609773,0.300349,0.101076,-0.419173,1.71412,0.605817,0.175704
-7.4062,0.983437,0.0104206,8,511,0,17.6899,0.693098,2.5588,0.179457,0.742357,0.322133,1.95174,1.5827,-0.580388,-0.61169,2.97865,1.23986,1.0229,5.3162,-1.64475,0.218865,-1.74135,0.98743,-0.161327,1.01372,1.82622,0.533397,0.284937,0.0639064,-0.248442,0.953092,0.493433,0.165719
-4.21244,0.952765,0.0104206,8,255,0,22.4506,0.425062,0.638123,0.180445,1.14414,0.260313,1.31449,1.79637,-0.104219,-0.866217,6.62959,1.09683,0.94066,5.35876,-1.45753,0.242721,-1.39251,1.02844,-0.0911505,0.782198,1.26087,0.471781,0.255086,0.0486428,0.0653282,0.964009,0.437052,0.17133
0.778327,0.993543,0.0104206,8,255,0,13.4632,0.147231,0.434258,2.99682,2.1597,0.505183,0.453491,0.484963,0.444775,-0.830165,2.44101,1.11307,0.756807,4.44339,-1.38567,0.228541,1.1078,1.22555,-0.178521,1.00659,-1.62971,0.583579,0.508799,0.0548687,0.0724386,1.08851,0.661617,0.0954181
4.89796,0.919386,0.0104206,7,155,1,7.98539,0.343861,0.646782,1.04064,1.44543,1.12679,1.11375,0.55914,0.725468,-0.832807,3.25876,0.733107,0.636218,4.19642,-1.20721,0.24916,0.810058,1.36545,-0.230356,0.920652,-1.81564,0.571246,0.577537,0.0390909,0.282265,1.24643,0.623103,0.0949875
