# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 221787620
# output
#   file = o4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.0102327
# Diagonal elements of inverse mass matrix:
# 0.685315, 0.15915, 0.74282, 0.268474, 0.939541, 21.5446, 0.207823, 0.811041, 0.0414304, 3.61629, 0.279917, 0.842978, 0.00888751, 0.796971, 0.0916781, 0.0495665, 0.665609, 0.29201, 0.923694, 0.0674219, 0.0396006, 0.789877, 0.00249762, 0.199661, 0.0813466, 0.0362296, 0.0752721
6.84909,0.526955,0.0102327,4,19,1,6.6584,0.307124,0.464072,1.00932,0.0381537,0.675805,3.681,-0.292029,1.18117,1.16603,7.44111,-0.504655,1.16311,0.181407,0.889957,1.03561,0.118953,0.297396,2.25783,-1.41855,0.682503,0.374068,1.06893,0.104597,0.655013,0.785454,0.348161,0.140682
3.75762,0.186784,0.0102327,8,255,0,14.3506,0.125462,1.0241,1.57551,0.028911,0.936742,-2.49691,-0.0109052,0.75632,0.992272,7.29866,-1.22105,0.679366,0.266957,0.265477,1.06103,0.509154,-0.465211,1.3917,-0.308173,0.637708,0.566403,0.0547056,0.112189,0.487976,0.881442,0.628437,0.157426
4.37345,0.987217,0.0102327,8,255,0,8.60218,-1.30168,0.652994,0.662063,0.237701,0.938687,7.531,0.288788,1.74865,1.07212,6.90481,-1.00395,0.107881,0.286629,-1.50547,1.46705,0.253511,-0.138126,1.29371,-2.11187,0.275771,0.572292,2.72637,0.179482,-0.0624344,1.13499,0.430436,0.10712
5.3814,0.940746,0.0102327,6,113,1,7.56861,-1.29162,0.652855,0.597357,0.17633,0.946227,7.68563,0.271711,1.74055,1.08151,6.88009,-0.973779,0.0763262,0.285246,-1.43845,1.47811,0.255295,-0.164545,1.30146,-2.06018,0.2822,0.578729,2.70799,0.184388,-0.0508309,1.10504,0.431505,0.106258
6.41523,0.779941,0.0102327,8,468,1,2.96248,-1.10896,1.0166,0.873199,0.0436769,0.792665,11.3754,0.422398,1.16507,1.18216,8.65336,-0.75924,0.574345,0.250531,-1.15133,1.40679,0.119051,0.408759,0.911135,-1.82521,0.195539,0.575905,1.88486,0.126349,0.0039819,1.37688,0.491682,0.127747
3.36847,0.997751,0.0102327,8,255,0,5.36919,-1.03803,1.02287,0.598753,0.144262,0.90059,9.53344,0.291086,1.1621,1.33422,8.51118,-0.662568,0.855251,0.294513,-1.06901,1.48456,0.117311,0.281367,0.987509,-2.37981,0.180002,0.653024,1.82395,0.152015,-0.0282594,1.3907,0.384978,0.137573
7.45447,0.932787,0.0102327,9,511,0,6.97205,-0.771905,1.22777,2.01243,-0.248915,1.56182,9.03115,0.594828,-0.349506,1.00367,5.37761,-1.72224,2.27135,0.167746,-0.475857,0.940735,0.16477,1.35169,1.00346,-0.89444,0.528243,0.620648,0.588273,0.108788,-0.146215,1.24309,0.554205,0.167123
