# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = 2 (Default)
# random
#   seed = 342077433
# output
#   file = of.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.000137632
# Diagonal elements of inverse mass matrix:
# 0.021856, 0.805574, 30.0385, 6.9665, 4.98092, 3.15108, 23.8045, 60.0206, 307.593, 53.5676, 1.69414, 1.6496, 8.77351, 532.865, 503.421, 6.47256, 8.10598, 31.8201, 28.5453, 107.242, 1.18824, 13.5882, 182.232, 690.227, 15.8076, 59.3434, 0.106569
15.6204,0.810071,0.000137632,10,1023,0,-1.9478,1.22896,6.21006,25.3468,2.75908,0.432049,-5.57938,21.2974,-21.8416,-51.238,-24.4528,1.10032,2.34868,22.8465,-60.1688,-40.8139,9.54078,1.6747,17.1014,24.4004,55.9458,2.15526,-18.7902,-28.1338,-18.8776,-3.29203,-42.4114,0.0569404
15.5017,0.984912,0.000137632,10,1023,0,-6.60261,1.22459,6.17174,25.1709,2.65528,0.37344,-5.47046,21.3353,-22.0824,-50.1222,-24.054,1.09211,2.32678,22.9051,-60.0721,-41.8432,9.53224,1.88881,17.3444,24.3964,55.2469,2.26999,-18.7066,-26.8563,-20.7784,-3.1793,-42.6595,0.0566509
15.4479,0.991816,0.000137632,10,1023,0,-0.704022,1.22405,6.24471,24.8054,2.65112,0.235131,-5.64708,21.4821,-21.7218,-52.1401,-23.9034,1.05108,2.2991,22.8431,-61.3941,-41.4483,9.3745,1.69379,17.2568,25.0232,54.8668,2.21826,-18.6498,-27.4116,-21.982,-3.28622,-42.8761,0.0571686
14.9243,0.963823,0.000137632,10,1023,0,-1.60882,1.23182,6.28506,23.8765,3.15647,0.125771,-5.70331,21.4609,-21.9172,-52.3216,-23.1645,1.18768,2.39803,23.0527,-63.2921,-41.5857,9.29505,1.79523,17.8718,25.435,53.4676,2.22004,-18.9335,-26.7787,-22.3089,-3.33406,-43.6462,0.0584165
15.6003,0.973034,0.000137632,10,1023,0,-4.26579,1.2411,6.313,23.7534,3.3488,-0.313863,-5.84969,22.2568,-21.3238,-51.127,-23.3016,1.40701,2.40214,23.3806,-67.6757,-40.4537,9.28325,1.72883,17.5069,25.1541,53.2352,2.22248,-18.8266,-27.1825,-22.7742,-3.38813,-43.1393,0.0609227
14.8102,0.928044,0.000137632,10,1023,0,-1.49939,1.2418,6.31372,23.7764,3.34626,-0.338591,-5.84971,22.2354,-21.336,-51.0711,-23.2552,1.40797,2.39435,23.3999,-67.6908,-40.4283,9.30983,1.72994,17.4825,25.1388,53.2698,2.2237,-18.8189,-27.2277,-22.7969,-3.37613,-43.1168,0.0609253
