# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = 2 (Default)
# random
#   seed = 375796854
# output
#   file = of10.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 9.41848e-005
# Diagonal elements of inverse mass matrix:
# 3.1328e-006, 4.83126e-006, 3.2348e-006, 3.01208e-005, 5.84007e-006, 0.000404049, 4.41565e-006, 0.000174721, 6.16819e-006, 3.35185e-005, 3.37251e-005, 6.15121e-005, 3.72548e-006, 2.24503e-005, 7.1799e-005, 5.1914e-006, 7.43031e-005, 5.55741e-005, 4.78094e-006, 5.90589e-005, 4.05462e-006, 0.000145439, 1.22817e-005, 8.67094e-006, 8.65813e-005, 3.78826e-005, 8.12088e-006
5.01998,1,9.41848e-005,10,1023,0,8.20661,0.605112,6.15033,0.0464444,0.233945,-5.77447,1.39999,4.7541,8.76103,-2.83353,-3.90337,-14.1729,3.58302,6.40839,-17.68,-8.3058,3.27349,5.51317,5.63951,6.32804,-14.0279,8.87848,4.01401,5.14412,-3.74324,4.8836,22.0916,0.142577
4.94431,0.86999,9.41848e-005,10,1023,0,6.74398,0.605137,6.15042,0.0463735,0.233859,-5.77433,1.4009,4.75414,8.76157,-2.83357,-3.90388,-14.1729,3.58316,6.40836,-17.6796,-8.30528,3.27365,5.51269,5.64008,6.32802,-14.0278,8.87858,4.01441,5.14408,-3.74321,4.88377,22.0924,0.142582
4.94706,1,9.41848e-005,10,1023,0,10.6846,0.604963,6.15042,0.0465846,0.233451,-5.77419,1.40066,4.75406,8.76323,-2.83348,-3.90371,-14.1727,3.58323,6.40834,-17.6795,-8.30439,3.27356,5.5122,5.64022,6.32794,-14.0276,8.87865,4.01551,5.14419,-3.74296,4.88316,22.0927,0.142596
4.66656,0.632454,9.41848e-005,10,1023,0,5.68344,0.604943,6.1504,0.0465976,0.233479,-5.77423,1.40039,4.75405,8.76374,-2.83346,-3.90361,-14.1726,3.58321,6.4084,-17.6794,-8.3046,3.27346,5.5122,5.64029,6.32799,-14.0276,8.87869,4.01504,5.14424,-3.74303,4.88313,22.0927,0.142618
4.90935,0.810362,9.41848e-005,10,1023,0,12.932,0.60503,6.1504,0.0466529,0.233328,-5.77415,1.40098,4.75408,8.76382,-2.83334,-3.90356,-14.1726,3.58337,6.40845,-17.6793,-8.3044,3.27351,5.51258,5.64004,6.32797,-14.0275,8.87864,4.01487,5.14419,-3.74311,4.88335,22.0928,0.142621
4.78308,0.497556,9.41848e-005,10,1023,0,3.74272,0.60501,6.15037,0.0466603,0.233348,-5.77412,1.40085,4.75405,8.76388,-2.83336,-3.90359,-14.1726,3.58346,6.40845,-17.6792,-8.3043,3.27353,5.51255,5.64003,6.32795,-14.0275,8.87865,4.01487,5.14416,-3.74316,4.88315,22.0927,0.142618
4.29866,1,9.41848e-005,10,1023,0,7.35674,0.605014,6.15052,0.0468516,0.233709,-5.77404,1.3997,4.7542,8.76382,-2.83317,-3.90352,-14.1727,3.584,6.40843,-17.6792,-8.30446,3.27361,5.5118,5.641,6.32814,-14.0284,8.87857,4.01459,5.14401,-3.74288,4.88391,22.0928,0.142653
4.49171,1,9.41848e-005,10,1023,0,4.71161,0.605008,6.15054,0.0468768,0.233671,-5.77395,1.40061,4.75426,8.76427,-2.8329,-3.90378,-14.1726,3.58382,6.4085,-17.6791,-8.30483,3.27364,5.51213,5.64132,6.32822,-14.0286,8.87868,4.01454,5.14411,-3.7428,4.8837,22.0927,0.142639
4.67195,1,9.41848e-005,10,1023,0,5.52453,0.605057,6.15069,0.0468393,0.233346,-5.77387,1.40094,4.75419,8.76383,-2.83287,-3.90366,-14.1724,3.58393,6.4085,-17.679,-8.3045,3.2736,5.51231,5.64136,6.32809,-14.0285,8.87884,4.01458,5.14437,-3.74287,4.88325,22.0925,0.142652
4.93829,0.880743,9.41848e-005,10,1023,0,11.0513,0.605061,6.15072,0.0470824,0.23319,-5.77394,1.40169,4.75433,8.76419,-2.83259,-3.90341,-14.1726,3.58363,6.40844,-17.6786,-8.30406,3.27393,5.51202,5.6413,6.32805,-14.029,8.87895,4.01471,5.14421,-3.74261,4.88302,22.0922,0.142672
5.12136,0.822092,9.41848e-005,10,1023,0,5.82043,0.604995,6.15061,0.0471332,0.232734,-5.77398,1.40229,4.75426,8.76402,-2.83248,-3.9034,-14.1723,3.58392,6.40844,-17.6784,-8.3046,3.27395,5.51274,5.64138,6.32816,-14.0294,8.879,4.01391,5.14425,-3.7426,4.88354,22.0924,0.14269
5.0056,0.899316,9.41848e-005,10,1023,0,9.54298,0.604652,6.15059,0.0472847,0.232349,-5.77414,1.40189,4.75449,8.76493,-2.8325,-3.90366,-14.172,3.58386,6.4085,-17.6785,-8.30466,3.27371,5.51176,5.64094,6.32829,-14.0297,8.87877,4.01479,5.14427,-3.74269,4.88369,22.0921,0.142719
4.98943,1,9.41848e-005,10,1023,0,7.32064,0.604599,6.15062,0.0472785,0.232322,-5.7742,1.40132,4.75468,8.7648,-2.83222,-3.90311,-14.1719,3.58398,6.40844,-17.6787,-8.30562,3.2739,5.51158,5.63997,6.32816,-14.029,8.87877,4.01485,5.14433,-3.74306,4.8844,22.0918,0.142782
5.0612,0.387097,9.41848e-005,10,1023,0,11.8162,0.604586,6.15056,0.0473122,0.232312,-5.7742,1.40132,4.75472,8.76475,-2.83223,-3.90308,-14.1717,3.58382,6.40843,-17.6789,-8.30559,3.27386,5.51148,5.63993,6.32819,-14.029,8.87878,4.01477,5.14433,-3.74301,4.88453,22.0917,0.142775
5.12538,0.384164,9.41848e-005,10,1023,0,8.48015,0.604626,6.15058,0.0473142,0.23231,-5.77417,1.40124,4.75473,8.76515,-2.8322,-3.90328,-14.1718,3.58368,6.40847,-17.6788,-8.30581,3.27386,5.51171,5.64005,6.32823,-14.0289,8.87876,4.01463,5.1443,-3.74299,4.8846,22.0916,0.142781
4.52014,0.962854,9.41848e-005,10,1023,0,6.08942,0.60462,6.15066,0.0471765,0.232217,-5.7741,1.40205,4.75486,8.76591,-2.83221,-3.903,-14.172,3.58438,6.40852,-17.6786,-8.30564,3.27383,5.51196,5.64044,6.32831,-14.0287,8.87888,4.01446,5.14405,-3.74295,4.88371,22.0913,0.142818
4.11557,1,9.41848e-005,10,1023,0,3.89251,0.604677,6.15062,0.0471948,0.23228,-5.77415,1.40227,4.75484,8.76579,-2.83223,-3.90286,-14.172,3.58456,6.40851,-17.6786,-8.30581,3.27384,5.51203,5.64033,6.32824,-14.0289,8.87876,4.01395,5.14401,-3.74298,4.88339,22.0912,0.14282
4.45056,1,9.41848e-005,10,1023,0,9.41347,0.604908,6.15047,0.047341,0.232096,-5.77408,1.4022,4.75476,8.76528,-2.8323,-3.90243,-14.1723,3.58387,6.4088,-17.6786,-8.30642,3.27389,5.51226,5.63967,6.32827,-14.0289,8.87891,4.01299,5.14433,-3.74307,4.88385,22.0912,0.142831
4.16977,1,9.41848e-005,10,1023,0,4.52582,0.604999,6.15038,0.0472898,0.231754,-5.77407,1.4019,4.75468,8.76506,-2.83255,-3.90263,-14.1717,3.58426,6.40867,-17.6787,-8.30578,3.27385,5.51263,5.6394,6.32822,-14.0288,8.8791,4.01174,5.14442,-3.74294,4.88388,22.0912,0.142839
3.79478,1,9.41848e-005,10,1023,0,14.4663,0.604766,6.15041,0.0471526,0.231917,-5.77398,1.40158,4.75457,8.76515,-2.83241,-3.9029,-14.1716,3.58375,6.40864,-17.6788,-8.30625,3.2738,5.51219,5.63928,6.32827,-14.0294,8.87902,4.01099,5.14445,-3.74291,4.88362,22.0909,0.142817
3.89777,1,9.41848e-005,10,1023,0,19.6768,0.604738,6.15033,0.0471191,0.231168,-5.77395,1.40006,4.75438,8.76346,-2.83266,-3.90252,-14.1714,3.58434,6.40856,-17.6788,-8.30587,3.27359,5.51202,5.63932,6.32835,-14.0283,8.87931,4.00956,5.14444,-3.74312,4.88507,22.0905,0.142786
3.67932,1,9.41848e-005,10,1023,0,8.81518,0.604531,6.15017,0.0472511,0.231249,-5.77395,1.40028,4.75418,8.76404,-2.83274,-3.90285,-14.1712,3.58401,6.40845,-17.6791,-8.3066,3.27365,5.5118,5.63955,6.32838,-14.0277,8.8792,4.0099,5.14445,-3.74321,4.88501,22.0904,0.14277
2.93324,1,9.41848e-005,10,1023,0,13.3554,0.604393,6.15015,0.0472756,0.231246,-5.77408,1.40231,4.75404,8.76484,-2.83274,-3.9027,-14.1712,3.58466,6.40846,-17.6795,-8.3064,3.2737,5.51174,5.63973,6.32853,-14.0272,8.87917,4.01003,5.14452,-3.74332,4.88404,22.0907,0.142789
2.84014,1,9.41848e-005,10,1023,0,10.7936,0.604287,6.15018,0.0473276,0.23146,-5.77401,1.40137,4.75399,8.76465,-2.83259,-3.90266,-14.1714,3.58468,6.40829,-17.6795,-8.30666,3.27351,5.51212,5.64053,6.32839,-14.0274,8.87912,4.01011,5.14475,-3.74319,4.88342,22.0906,0.142773
2.70066,1,9.41848e-005,10,1023,0,6.51811,0.604189,6.15019,0.0472432,0.23165,-5.774,1.40086,4.75404,8.76484,-2.83266,-3.90272,-14.1716,3.5845,6.40826,-17.6796,-8.30629,3.27352,5.51194,5.64067,6.3284,-14.028,8.87909,4.00998,5.1447,-3.74325,4.88331,22.0906,0.142784
2.87136,1,9.41848e-005,10,1023,0,13.5031,0.603989,6.15036,0.0468502,0.231406,-5.77404,1.4017,4.75407,8.76584,-2.83256,-3.90239,-14.1714,3.58435,6.408,-17.6794,-8.30597,3.27351,5.51232,5.64069,6.32821,-14.0285,8.87914,4.00989,5.14468,-3.74382,4.88331,22.0906,0.142815
3.51099,1,9.41848e-005,10,1023,0,7.857,0.60391,6.15041,0.046942,0.230783,-5.7739,1.40063,4.75432,8.76446,-2.83267,-3.9024,-14.1709,3.584,6.40792,-17.6787,-8.30609,3.27349,5.51188,5.64064,6.3283,-14.0285,8.87911,4.01037,5.14472,-3.74384,4.88328,22.091,0.142792
3.26725,1,9.41848e-005,10,1023,0,4.18091,0.603937,6.15035,0.0470194,0.23093,-5.77391,1.4007,4.7544,8.76382,-2.83275,-3.90237,-14.1712,3.58433,6.40784,-17.6786,-8.30643,3.27345,5.51163,5.6405,6.32832,-14.0286,8.87913,4.01056,5.14469,-3.7437,4.8835,22.0908,0.142777
3.85627,1,9.41848e-005,10,1023,0,8.84884,0.603782,6.1503,0.0468103,0.230512,-5.77385,1.39996,4.75451,8.76215,-2.83266,-3.90266,-14.1707,3.58406,6.40795,-17.679,-8.30616,3.27353,5.51157,5.64034,6.32823,-14.0287,8.87903,4.00986,5.14468,-3.74357,4.88392,22.091,0.142781
3.77319,1,9.41848e-005,10,1023,0,9.13489,0.603876,6.15047,0.0467395,0.230245,-5.774,1.39973,4.7546,8.76228,-2.83261,-3.90261,-14.1705,3.58348,6.40791,-17.6789,-8.3063,3.27366,5.51119,5.64052,6.32825,-14.0291,8.87895,4.0089,5.14447,-3.74378,4.88386,22.091,0.142779
3.22402,1,9.41848e-005,10,1023,0,8.2639,0.603976,6.15043,0.0466346,0.230277,-5.77394,1.40046,4.75471,8.76111,-2.83255,-3.90304,-14.1708,3.58406,6.40812,-17.6789,-8.30649,3.27357,5.51038,5.6401,6.32807,-14.0295,8.87906,4.00878,5.14433,-3.74385,4.884,22.0914,0.142784
3.92458,1,9.41848e-005,10,1023,0,5.40778,0.603898,6.15063,0.0465536,0.230146,-5.77385,1.399,4.75483,8.7591,-2.83255,-3.90285,-14.1703,3.58402,6.40787,-17.6789,-8.30618,3.27347,5.51039,5.6397,6.32813,-14.03,8.87895,4.00909,5.14413,-3.74366,4.88405,22.091,0.142784
4.16401,1,9.41848e-005,10,1023,0,4.34848,0.603863,6.1506,0.0465599,0.23022,-5.77377,1.39948,4.7549,8.75874,-2.83254,-3.90301,-14.1704,3.5839,6.40788,-17.679,-8.30636,3.27358,5.51056,5.63988,6.32811,-14.0304,8.87892,4.00952,5.14426,-3.74363,4.88391,22.0909,0.142769
4.50314,1,9.41848e-005,10,1023,0,7.09699,0.603903,6.15047,0.0465361,0.229852,-5.77371,1.39892,4.755,8.75871,-2.83252,-3.90247,-14.1707,3.58415,6.40775,-17.679,-8.30612,3.27371,5.5103,5.63973,6.32813,-14.0305,8.87903,4.00996,5.14413,-3.74374,4.88467,22.0906,0.142768
4.49422,1,9.41848e-005,10,1023,0,5.94023,0.603906,6.15045,0.0464903,0.229716,-5.77374,1.39909,4.75491,8.75832,-2.83261,-3.90276,-14.1706,3.58413,6.4077,-17.6792,-8.30637,3.2737,5.51001,5.63975,6.32809,-14.0303,8.87899,4.01044,5.14417,-3.74368,4.88447,22.0906,0.142767
4.80472,0.793744,9.41848e-005,10,1023,0,15.1739,0.603923,6.15044,0.0466326,0.22984,-5.77361,1.39798,4.7549,8.75872,-2.83265,-3.90312,-14.1709,3.58352,6.40773,-17.6789,-8.30631,3.27372,5.51004,5.63999,6.32829,-14.0304,8.87915,4.01033,5.14426,-3.74367,4.88466,22.0907,0.142756
4.70442,0.904203,9.41848e-005,10,1023,0,13.0653,0.603932,6.15046,0.0466402,0.229883,-5.77357,1.39802,4.7549,8.75904,-2.83267,-3.90309,-14.1709,3.58366,6.40771,-17.6789,-8.30628,3.27368,5.50995,5.63992,6.32828,-14.0307,8.87917,4.01056,5.14423,-3.74365,4.88475,22.0907,0.142761
5.1754,0.73216,9.41848e-005,10,1023,0,23.4826,0.603838,6.15024,0.046623,0.229797,-5.77379,1.39733,4.75473,8.75945,-2.8328,-3.90348,-14.1707,3.58316,6.40756,-17.6791,-8.30624,3.27389,5.51084,5.64003,6.32849,-14.0307,8.87921,4.0103,5.14394,-3.74374,4.88463,22.0906,0.142757
5.15734,0.907136,9.41848e-005,10,1023,0,8.48028,0.603731,6.15016,0.046599,0.229714,-5.77384,1.39702,4.75459,8.76081,-2.83275,-3.9037,-14.1712,3.5827,6.40747,-17.6791,-8.3064,3.27361,5.51044,5.64002,6.3287,-14.0308,8.87914,4.00979,5.1438,-3.7437,4.88552,22.0906,0.142764
4.87153,0.7087,9.41848e-005,10,1023,0,9.96657,0.603772,6.15002,0.0467201,0.229582,-5.77392,1.39923,4.75461,8.76034,-2.8328,-3.90405,-14.1711,3.58296,6.40754,-17.6793,-8.30659,3.27379,5.51014,5.63938,6.32853,-14.0306,8.87915,4.00943,5.14387,-3.7435,4.88584,22.0908,0.142786
4.90099,1,9.41848e-005,10,1023,0,11.6674,0.603761,6.14998,0.0467299,0.229497,-5.774,1.39835,4.75448,8.75966,-2.83274,-3.90391,-14.1709,3.58323,6.40752,-17.6792,-8.3062,3.2738,5.51016,5.639,6.32849,-14.0299,8.8791,4.00889,5.14397,-3.74361,4.88612,22.0906,0.142773
4.92933,1,9.41848e-005,10,1023,0,10.1014,0.603762,6.15,0.0467285,0.229575,-5.774,1.39871,4.75448,8.75956,-2.83272,-3.90384,-14.1709,3.58333,6.4075,-17.6791,-8.30609,3.27378,5.51025,5.63908,6.32849,-14.0299,8.87911,4.00901,5.14396,-3.74362,4.88607,22.0906,0.142775
5.21082,0.618768,9.41848e-005,10,1023,0,11.1509,0.603745,6.15009,0.0467383,0.229614,-5.77417,1.39771,4.75444,8.75905,-2.83266,-3.9039,-14.1706,3.58344,6.40756,-17.679,-8.30579,3.27374,5.51014,5.63885,6.32849,-14.0299,8.87922,4.00945,5.14397,-3.74365,4.88632,22.0906,0.142793
5.23227,0.266862,9.41848e-005,10,1023,0,7.65175,0.603785,6.15006,0.0467084,0.229458,-5.77411,1.39791,4.75445,8.75908,-2.83268,-3.90381,-14.1707,3.58356,6.40754,-17.6789,-8.30579,3.27372,5.50997,5.63905,6.32852,-14.03,8.87924,4.00961,5.144,-3.74365,4.88651,22.0907,0.142799
5.14247,0.560117,9.41848e-005,10,1023,0,10.5038,0.603776,6.15006,0.0467481,0.229296,-5.77414,1.39788,4.75441,8.75917,-2.83265,-3.90382,-14.1707,3.58372,6.40751,-17.6789,-8.30578,3.27373,5.51002,5.63906,6.32851,-14.03,8.87928,4.00922,5.14397,-3.74373,4.88665,22.0906,0.142812
4.88629,0.426197,9.41848e-005,10,1023,0,7.242,0.603757,6.15005,0.046761,0.229166,-5.77414,1.398,4.7544,8.75925,-2.83268,-3.90386,-14.1706,3.58408,6.40753,-17.6789,-8.30598,3.27371,5.50996,5.63889,6.32851,-14.0302,8.87927,4.0092,5.14397,-3.74377,4.88664,22.0906,0.142816
5.03536,0.777126,9.41848e-005,10,1023,0,10.1672,0.603687,6.15005,0.0466689,0.229208,-5.77417,1.39856,4.75451,8.75822,-2.83266,-3.90414,-14.1704,3.58457,6.4074,-17.679,-8.30565,3.27373,5.51002,5.63891,6.32864,-14.0303,8.87925,4.00945,5.14406,-3.7436,4.88671,22.0908,0.142805
5.18071,1,9.41848e-005,10,1023,0,5.63407,0.603664,6.15009,0.0466465,0.228807,-5.77411,1.39959,4.75442,8.75832,-2.8327,-3.90371,-14.1703,3.58468,6.40739,-17.6792,-8.30557,3.27371,5.51007,5.63913,6.32844,-14.0295,8.87916,4.00998,5.14405,-3.74366,4.88656,22.0907,0.142802
5.16934,0.889541,9.41848e-005,10,1023,0,0.0687698,0.603655,6.15012,0.0466563,0.228814,-5.77414,1.4,4.75438,8.75798,-2.83263,-3.90381,-14.1703,3.58479,6.40735,-17.6792,-8.30546,3.27367,5.50997,5.6395,6.32842,-14.0293,8.8791,4.01,5.14401,-3.74367,4.88647,22.0906,0.142782
5.18911,1,9.41848e-005,10,1023,0,12.4544,0.603607,6.15023,0.0465142,0.22877,-5.77406,1.39949,4.75441,8.75847,-2.8326,-3.90417,-14.1701,3.58499,6.40747,-17.6796,-8.30534,3.27365,5.50982,5.63926,6.32851,-14.0296,8.87919,4.01045,5.14424,-3.74366,4.88667,22.0904,0.142776
5.09922,0.666667,9.41848e-005,10,1023,0,11.8961,0.603602,6.15014,0.0464649,0.228835,-5.77405,1.3993,4.75445,8.75829,-2.83267,-3.90442,-14.1701,3.58478,6.40745,-17.6795,-8.30564,3.27367,5.50972,5.63942,6.32846,-14.0295,8.8792,4.01049,5.14415,-3.74356,4.88643,22.0905,0.142771
5.18956,0.969697,9.41848e-005,10,1023,0,5.85786,0.603645,6.14989,0.0464063,0.228795,-5.77401,1.40156,4.7545,8.7586,-2.83272,-3.90455,-14.1706,3.58467,6.40758,-17.6801,-8.30573,3.27369,5.50937,5.63919,6.32831,-14.0298,8.87907,4.01168,5.14425,-3.74357,4.88619,22.0907,0.142781
5.08817,0.595308,9.41848e-005,10,1023,0,18.3052,0.60359,6.14993,0.0464284,0.228759,-5.77396,1.40111,4.75446,8.75871,-2.83275,-3.90456,-14.1705,3.5846,6.40761,-17.6801,-8.30576,3.2737,5.50918,5.63923,6.32831,-14.0299,8.8791,4.01145,5.14426,-3.74363,4.88637,22.0907,0.142777
5.19897,0.645161,9.41848e-005,10,1023,0,9.24019,0.603523,6.14979,0.0464136,0.228677,-5.77398,1.40044,4.75444,8.75809,-2.83273,-3.90467,-14.1705,3.58486,6.40759,-17.6802,-8.30592,3.27365,5.50913,5.63978,6.32842,-14.03,8.87916,4.01122,5.1443,-3.7436,4.88716,22.0904,0.14277
4.98918,0.42131,9.41848e-005,10,1023,0,9.14945,0.603444,6.14982,0.0463941,0.228749,-5.77397,1.40108,4.75445,8.75832,-2.83278,-3.90477,-14.1706,3.58468,6.40756,-17.6801,-8.306,3.27372,5.50885,5.63977,6.32842,-14.0301,8.87914,4.01093,5.14429,-3.7436,4.88725,22.0906,0.142767
4.90415,1,9.41848e-005,10,1023,0,12.3732,0.603523,6.14977,0.0463511,0.228854,-5.77391,1.40081,4.7544,8.76026,-2.83268,-3.90494,-14.1703,3.5848,6.40771,-17.6799,-8.30569,3.27363,5.50935,5.63952,6.32848,-14.0299,8.87908,4.01093,5.14416,-3.74349,4.88726,22.0904,0.14279
4.12785,1,9.41848e-005,10,1023,0,13.331,0.603548,6.14942,0.0461967,0.22878,-5.77377,1.39982,4.75441,8.76218,-2.83267,-3.90447,-14.1706,3.58418,6.40775,-17.6798,-8.30487,3.27337,5.508,5.63963,6.32826,-14.0308,8.87896,4.0101,5.14459,-3.74346,4.88704,22.0898,0.142762
