# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = 2 (Default)
# random
#   seed = 376399534
# output
#   file = of11.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 3.84219e-005
# Diagonal elements of inverse mass matrix:
# 0.00390219, 3584.89, 1534.48, 8.46541, 49.7765, 1.02747, 0.131533, 16.8923, 2406.88, 0.661391, 370.363, 71.5421, 3.89489, 437.01, 504.584, 84.35, 7.18416, 80.3018, 76437, 15.7591, 310.466, 125.031, 5201.59, 54.2443, 73.1303, 7.22178, 0.0783996
-984.973,0.991585,3.84219e-005,10,1023,0,1002.03,0.707226,319.399,161.593,-1.2718,-5.17516,0.493763,2.04174,30.3103,55.9598,-0.889644,41.8942,-3.44813,0.921126,117.287,-75.2909,70.5423,-5.06358,60.1995,464.839,13.972,9.0052,-2.55417,272.562,-16.0192,-13.3732,6.32769,0.0649988
-985.043,0.760408,3.84219e-005,10,1023,0,1000.16,0.707836,319.819,161.507,-1.35118,-5.23788,0.459745,2.03673,30.326,55.9711,-0.887138,42.1032,-3.44501,0.959369,117.26,-75.2959,70.8447,-5.03984,60.2994,462.82,13.9494,10.0861,-2.44199,273.913,-16.0262,-13.4957,6.3186,0.0649757
-985.053,0.991627,3.84219e-005,10,1023,0,993.165,0.706235,319.842,161.965,-1.33263,-5.36771,0.481131,2.02635,30.4205,55.9835,-0.872436,42.5025,-3.37084,0.993188,116.339,-75.3521,70.6418,-5.03721,60.4508,461.709,14.1004,9.61679,-2.88269,273.358,-15.8382,-13.484,6.27627,0.0649497
-985.087,0.999375,3.84219e-005,10,1023,0,998.613,0.707103,319.913,161.844,-1.3121,-5.40207,0.471845,2.01569,30.4586,57.0192,-0.842611,42.9141,-3.37513,1.01931,116.241,-75.1316,70.563,-4.99704,60.6687,465.333,14.0949,9.61033,-2.82623,272.819,-16.0758,-13.4494,6.30898,0.0651525
-985.845,0.774788,3.84219e-005,10,1023,0,996.733,0.706906,318.437,162.351,-1.31551,-5.3752,0.47301,2.02459,30.4386,56.6406,-0.854685,43.2624,-3.38875,0.988872,115.696,-75.4752,70.6929,-5.02613,60.5599,467.301,13.9425,9.60722,-2.72235,271.616,-16.3726,-13.6302,6.2386,0.0656731
-986.35,0.96283,3.84219e-005,10,1023,0,1008.74,0.710522,318.075,162.034,-1.4143,-5.81309,0.423161,2.01878,30.5244,54.6423,-0.845096,42.4263,-3.29754,0.869436,116.799,-75.4244,70.655,-4.93616,60.6945,474.905,13.972,7.65106,-2.9203,273.428,-16.8837,-13.0558,6.13294,0.0664098
