# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = init.R
# random
#   seed = 380867191
# output
#   file = of13.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.00265945
# Diagonal elements of inverse mass matrix:
# 0.0154583, 1.79093, 11.0131, 0.00857889, 147.707, 0.682875, 1.79017, 0.0855582, 0.34284, 0.211438, 0.713482, 0.0471991, 0.832506, 0.984309, 0.138471, 0.0348615, 0.681124, 14.2609, 3.70821, 0.66038, 5.67618, 0.0146396, 4.21449, 10.3647, 10.4511, 0.444935, 0.231313
9.19004,0.748946,0.00265945,2,4,1,-0.444955,0.399133,4.04432,-1.77043,0.0400923,27.6703,4.16333,3.70236,0.217333,0.651825,1.03715,-2.62484,0.0174099,1.71119,-4.25498,1.47706,0.565242,1.20669,9.79315,0.324572,-2.86133,6.21699,0.53586,7.10541,9.15234,-3.96691,1.18715,0.190435
9.20426,0.928531,0.00265945,3,14,1,9.21869,0.39643,4.0257,-1.75312,0.0403459,27.6277,4.16437,3.73912,0.216224,0.659359,1.02216,-2.615,0.0173833,1.70104,-4.25469,1.47154,0.565697,1.20759,9.80015,0.327153,-2.86001,6.24443,0.535527,7.14165,9.19409,-3.97355,1.17684,0.189558
9.03014,0.856774,0.00265945,2,7,1,7.37973,0.395579,4.0215,-1.74116,0.0400535,27.8322,4.16296,3.74153,0.216705,0.656361,1.02124,-2.62242,0.0147475,1.70631,-4.25498,1.47039,0.564836,1.21529,9.80296,0.326005,-2.85808,6.23758,0.536564,7.14127,9.1926,-3.98183,1.17249,0.189942
9.29181,0.93676,0.00265945,4,16,1,4.71483,0.390735,4.06444,-1.73761,0.0381981,27.3722,4.15034,3.69655,0.221204,0.619498,1.03832,-2.65127,0.0247553,1.67672,-4.26071,1.48197,0.57221,1.1802,9.92359,0.379415,-2.83186,6.19845,0.535675,7.16898,9.34144,-3.91332,1.14856,0.190432
9.38749,0.8,0.00265945,2,5,1,4.21354,0.390447,4.06771,-1.71695,0.0385909,27.4317,4.15709,3.71043,0.219724,0.61315,1.03923,-2.64637,0.0246788,1.67612,-4.25719,1.48035,0.572662,1.17578,9.92059,0.389105,-2.8385,6.20514,0.535653,7.18228,9.33689,-3.92667,1.15361,0.190966
9.42489,0.874994,0.00265945,3,8,1,6.01063,0.393725,4.08144,-1.6937,0.0381338,27.4428,4.15603,3.71449,0.220212,0.606323,1.03434,-2.64827,0.0242874,1.69103,-4.24775,1.47621,0.574385,1.18872,9.88762,0.388547,-2.82507,6.2228,0.53454,7.15059,9.26641,-3.91921,1.14316,0.191748
