# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = 2 (Default)
# random
#   seed = 342240809
# output
#   file = of3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.000147619
# Diagonal elements of inverse mass matrix:
# 0.0137245, 223.862, 227.62, 0.354864, 81.4528, 127.902, 1.75282, 78.4267, 48.0232, 110.027, 12.3853, 2.32193, 109.46, 61.7306, 144.488, 572.436, 4.96341, 52.8328, 11.608, 10.6443, 22.0807, 7.61364, 0.982644, 225.449, 110.182, 14.6698, 0.489792
14.3661,0.999266,0.000147619,10,1023,0,0.424488,0.537288,61.7978,7.19917,-2.54462,15.6997,25.0378,5.66459,-18.9035,5.54469,-25.0078,-15.344,-5.27513,33.2716,-6.1927,-31.294,20.8278,2.1581,-9.05652,6.67145,8.12156,11.1908,5.80777,3.49992,28.9025,-0.535613,6.96479,0.0642888
14.4966,0.962846,0.000147619,10,1023,0,2.70542,0.531179,56.7485,9.08656,-2.56137,15.5219,24.243,5.39996,-18.7919,5.30619,-25.3589,-14.387,-5.55924,31.1686,-6.18509,-29.6591,18.3214,2.51505,-8.56978,6.7259,8.28672,10.6529,6.05441,3.51798,28.06,-1.00962,7.2373,0.0653432
13.7237,0.894756,0.000147619,10,1023,0,0.232477,0.538483,56.3314,11.1829,-2.5259,16.4573,23.9606,5.42933,-18.7745,5.23864,-25.2228,-14.6434,-5.51197,31.2022,-6.52847,-29.2573,18.1014,2.62824,-8.18512,6.81797,8.2184,10.6221,6.11848,3.48191,27.358,-0.352072,7.26621,0.0651324
13.8395,0.994169,0.000147619,10,1023,0,-1.7189,0.529116,57.4039,12.2995,-2.52054,15.133,22.0166,5.30783,-18.3445,5.80239,-23.6639,-14.91,-5.41704,31.5631,-6.06701,-29.9075,18.2106,2.25041,-8.0152,6.56063,8.58903,9.8205,5.86534,3.52719,24.8623,-0.282343,7.31342,0.075787
13.8508,0.97706,0.000147619,10,1023,0,-2.17972,0.517802,57.2802,13.0152,-2.50689,15.9109,20.8168,5.26926,-18.3124,5.67252,-21.5089,-15.4942,-5.66033,33.6722,-7.54731,-29.745,18.0872,2.11145,-8.0535,7.17528,8.11552,9.81553,5.78214,3.53997,22.7385,-1.69329,7.50438,0.070291
13.0713,0.633993,0.000147619,10,1023,0,-0.268093,0.524848,56.1825,14.8657,-2.52635,15.5184,20.9246,5.43094,-18.4554,5.37017,-21.0292,-14.6658,-5.46287,34.2785,-7.15709,-29.6044,16.9666,1.95751,-8.07495,6.7462,8.22464,9.7982,6.1152,3.64453,23.8177,-1.60293,7.75775,0.0776056
13.4516,0.977937,0.000147619,10,1023,0,3.80385,0.542167,57.9024,15.3838,-2.48512,16.1539,20.6694,5.62707,-18.1264,5.32136,-21.5198,-14.3905,-5.4328,34.2154,-6.14198,-29.4133,15.9202,1.90105,-8.60833,6.42368,8.10837,9.73244,6.12837,3.54081,22.981,-1.50027,7.5311,0.0793022
13.4413,0.999977,0.000147619,10,1023,0,-6.95252,0.539998,58.7242,15.0326,-2.47912,15.8017,20.5585,5.53595,-18.3965,5.3679,-21.8079,-14.674,-5.48023,34.1961,-5.59295,-29.8541,18.1522,1.84198,-8.45335,6.43004,8.12552,9.3974,6.07432,3.58511,23.8225,-2.05267,7.40499,0.0812996
13.1541,0.973937,0.000147619,10,1023,0,-3.93776,0.524675,60.3934,14.1317,-2.48646,16.4099,20.2066,5.53225,-18.3177,5.21052,-21.4629,-14.6536,-5.37992,33.9042,-5.91328,-29.4555,17.0244,1.50396,-8.58768,6.65598,7.95843,9.41985,6.30326,3.54399,24.7336,-1.8395,7.78696,0.0825996
12.5216,0.786207,0.000147619,10,1023,0,0.169689,0.523604,57.2733,15.0584,-2.41814,15.9661,18.1272,5.5036,-17.9254,4.73741,-20.9844,-14.6757,-5.4913,34.2535,-6.34255,-27.4447,14.879,2.10837,-8.13956,7.37507,7.9314,9.12711,6.58865,3.52885,25.3095,-1.86583,8.16087,0.0830791
12.563,0.959439,0.000147619,10,1023,0,0.757275,0.519816,57.6117,15.4348,-2.39246,15.9811,17.5202,5.62434,-17.6087,5.43528,-20.4262,-15.0112,-5.61234,33.7125,-6.21565,-27.9933,11.8292,2.02709,-8.04579,7.58019,8.2158,9.35015,6.52711,3.65061,25.2011,-1.38377,8.12068,0.0856573
12.7218,0.979666,0.000147619,10,1023,0,4.25364,0.521196,59.4775,13.9588,-2.3618,15.6275,15.3429,5.94106,-17.6508,5.28652,-21.5665,-15.5196,-5.6909,31.5132,-6.44536,-29.1363,6.69145,1.93439,-8.15249,7.56602,7.90654,9.86193,7.6274,3.68709,26.5697,-2.8958,7.70689,0.0914145
13.0987,0.990019,0.000147619,10,1023,0,1.33028,0.515013,58.9337,13.7747,-2.3804,15.3493,15.5229,5.84731,-18.1593,5.43316,-21.8421,-15.7522,-5.7421,31.7467,-6.12856,-28.8328,3.8285,1.87869,-8.54524,7.97226,8.22426,10.1982,7.71986,3.73057,26.4252,-2.13831,7.51155,0.0914049
13.0859,0.986574,0.000147619,10,1023,0,-3.63215,0.513924,59.6999,13.3497,-2.37559,15.1786,15.0072,5.92806,-18.3749,5.24937,-21.9754,-15.807,-5.77826,30.9393,-6.08695,-28.3933,3.106,2.10936,-8.33947,7.84146,8.17132,10.3478,7.71292,3.82166,26.627,-2.09566,7.38072,0.0906031
13.2144,0.99269,0.000147619,10,1023,0,-1.33009,0.523629,58.3782,14.5335,-2.36256,15.4308,15.6437,5.93827,-18.4564,5.00419,-21.7753,-15.6939,-5.72643,30.4812,-5.50345,-27.4441,1.53425,2.16591,-8.40533,7.77141,7.72428,10.5196,7.85511,3.83339,26.5356,-1.57666,7.01877,0.0889896
13.5119,0.787505,0.000147619,10,1023,0,3.69404,0.517001,59.002,14.6428,-2.37113,15.2537,16.6978,5.96506,-20.3566,4.77199,-22.1885,-16.0954,-5.86166,29.9291,-6.26816,-28.2294,4.20525,2.30099,-7.25983,8.00779,7.60366,9.49948,7.69533,3.94157,26.5425,-2.29506,6.80635,0.0801876
13.4098,0.998446,0.000147619,10,1023,0,6.37935,0.507715,58.994,15.4197,-2.3074,15.1428,14.9743,5.86911,-20.9438,5.65432,-21.0369,-16.0948,-5.96797,30.6105,-5.14818,-30.7279,10.6131,2.71062,-5.38255,7.85177,7.72286,9.97202,7.97973,4.19993,27,-2.2053,7.36051,0.076866
12.3017,0.820042,0.000147619,10,1023,0,-1.22017,0.50625,59.2959,14.2059,-2.31356,15.2128,15.5306,5.85938,-20.9122,5.75382,-20.8142,-16.2461,-5.9332,30.2171,-4.96604,-31.259,10.036,2.77691,-5.64024,7.86176,7.61945,10.1288,8.06641,4.21396,25.6965,-2.03204,7.28788,0.0764553
13.3833,0.93426,0.000147619,10,1023,0,4.09506,0.506325,61.3568,13.535,-2.25631,15.4426,16.7159,6.02264,-20.4536,6.23137,-18.6019,-16.2785,-5.94482,29.6157,-6.49564,-31.6281,11.5969,2.98686,-6.44059,8.26425,7.68945,9.24747,7.98541,4.23064,27.3325,-1.08212,7.59588,0.0769068
13.0771,0.970714,0.000147619,10,1023,0,-4.95169,0.504021,62.6699,15.1994,-2.22938,16.0072,18.1542,6.26101,-21.4145,5.78904,-18.961,-16.2798,-5.70482,27.8704,-5.54332,-31.7097,11.0291,2.8585,-6.64107,7.83442,7.83841,9.37081,7.82476,4.16849,26.2569,-0.569209,7.91942,0.0739254
13.0817,0.997634,0.000147619,10,1023,0,-2.70781,0.503026,62.7359,15.1258,-2.22605,16.1129,18.3355,6.28031,-21.3224,5.80594,-19.0113,-16.3225,-5.69969,27.8931,-5.55828,-31.7068,11.1019,2.84625,-6.59293,7.83617,7.83752,9.35713,7.80997,4.16937,26.2814,-0.57326,7.91183,0.0742141
12.7963,0.9881,0.000147619,10,1023,0,3.50886,0.489497,61.2468,15.0164,-2.09166,16.6942,17.305,6.38703,-18.9401,5.71866,-16.68,-15.4622,-5.89389,27.6343,-3.77214,-30.0591,7.53991,2.82998,-5.56606,7.92314,7.66877,9.33806,8.31935,4.10053,26.7638,-2.43262,8.16305,0.0690879
13.3358,0.999706,0.000147619,10,1023,0,-0.0390766,0.492639,62.4777,14.9345,-2.09656,17.0137,17.5254,6.31943,-18.3851,5.77601,-16.9104,-15.7206,-5.92556,26.8752,-4.74449,-28.8856,6.08159,2.7335,-5.26157,7.92701,8.12505,8.85345,8.28589,4.10618,26.9314,-2.05401,7.99863,0.0669876
13.277,0.999675,0.000147619,10,1023,0,2.61822,0.487782,62.7968,13.5114,-2.09893,16.5191,16.7809,6.56787,-17.5625,6.59276,-18.8427,-15.424,-6.48645,30.1558,-5.4174,-26.4909,7.58289,2.61692,-4.00679,7.66073,7.48931,8.30023,8.44864,4.07089,28.9516,-1.53471,7.62173,0.060628
13.5155,0.999532,0.000147619,10,1023,0,-7.32221,0.496057,63.6078,13.8389,-2.09467,16.3863,17.9239,6.51528,-18.5266,6.65645,-19.4131,-15.3267,-6.33245,29.4729,-4.66056,-27.6932,10.5784,3.01987,-3.42858,7.86171,7.66925,8.50787,8.40487,4.14006,27.4734,-1.13001,8.26137,0.0598948
