# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 71610261
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.000751098
# Diagonal elements of inverse mass matrix:
# 0.699857, 0.25231, 0.381245, 0.139555, 0.192968, 0.623771, 0.0319874, 0.386245, 0.413514, 9.41856, 0.00249694, 0.0142808, 0.704212, 0.0630781, 0.00290165, 0.414402, 0.0248374, 0.0329686, 0.0318909, 0.111702, 0.0100299, 0.00727083, 0.00189617, 0.0592584, 0.0103548, 0.00802758, 0.140895
25.2903,0.999999,0.000751098,10,1023,0,-13.5896,1.58747,0.157316,1.14925,0.666955,1.08765,1.26113,-0.0282408,2.34566,0.313901,8.12188,-0.0241769,0.895613,6.3465,-0.670649,0.149174,1.24303,1.04878,-0.0549488,1.10435,-1.9587,0.460541,0.986879,0.0990238,0.482236,0.972662,0.260194,0.131114
25.7645,0.999697,0.000751098,10,1023,0,-8.73517,1.69274,0.161927,1.25197,0.64109,1.09973,1.3755,0.0240829,2.30171,0.266731,8.33455,-0.0358007,0.925832,6.37548,-0.708796,0.154322,1.19037,1.07461,-0.0863627,1.08716,-2.02119,0.457885,0.976013,0.0942438,0.472243,0.970703,0.254393,0.124922
25.436,0.999994,0.000751098,10,1023,0,-18.7627,1.55317,0.142169,1.18564,0.618133,0.996523,1.40954,0.0544121,2.501,0.0450512,9.01304,-0.0614945,0.89915,6.43141,-0.724269,0.14336,1.39143,1.04262,-0.097654,1.06869,-2.02134,0.465277,1.01514,0.0803955,0.362826,0.970282,0.291398,0.117892
23.493,0.999642,0.000751098,10,1023,0,-12.4241,1.86104,0.148699,1.26429,0.612751,1.05591,1.38791,0.0205703,2.50254,-0.100015,8.78751,-0.0581063,0.889251,6.33785,-0.715437,0.139072,1.43009,1.00875,-0.101088,1.06195,-2.04809,0.448163,1.00411,0.0816694,0.411269,0.950584,0.28917,0.105141
24.3676,0.999992,0.000751098,10,1023,0,-14.5336,1.94362,0.141664,1.12351,0.579445,1.15161,1.42879,0.0103387,2.39879,-0.192143,8.57318,-0.0619745,0.901687,6.28302,-0.774775,0.147441,1.41156,1.00084,-0.161286,0.997489,-2.20044,0.466117,1.01277,0.0935412,0.419608,0.933363,0.273029,0.108038
18.6629,0.707721,0.000751098,10,1023,0,-2.63949,1.57462,0.108866,1.37006,0.621431,1.18463,1.90648,0.108783,2.20304,-0.149787,7.75857,-0.0496124,0.896283,6.19351,-0.73833,0.128559,1.3131,1.03051,-0.174269,0.862641,-2.18428,0.469672,1.01907,0.0938422,0.494109,0.913769,0.305436,0.106359
20.2332,0.799407,0.000751098,10,1023,0,-8.47564,1.57611,0.113974,1.46275,0.618984,1.12449,1.65499,0.106657,2.18541,-0.162641,7.78847,-0.0509574,0.885056,6.32311,-0.713792,0.129327,1.36199,1.03662,-0.176447,0.863199,-2.19842,0.472163,1.01748,0.102373,0.479084,0.913821,0.302471,0.105436
25.6303,0.999977,0.000751098,10,1023,0,-9.56328,1.67566,0.125704,1.53586,0.822947,1.1146,1.29284,0.0364286,2.11728,-0.331617,7.475,-0.0462398,0.883339,6.23548,-0.751076,0.105953,1.06437,1.06688,-0.160752,0.818672,-1.91897,0.476742,1.00823,0.0907262,0.404353,0.923979,0.29987,0.0944923
25.5653,0.999995,0.000751098,10,1023,0,-15.0826,1.33302,0.113405,0.997765,0.699247,1.0408,1.2562,0.0263597,2.42495,-0.277989,6.80686,-0.0187758,0.910961,6.07151,-0.708638,0.126456,0.838273,1.00126,-0.159109,0.839352,-1.78007,0.437069,0.969766,0.10722,0.510162,0.911192,0.298065,0.084509
25.7956,0.999993,0.000751098,10,1023,0,-15.8756,1.19453,0.111779,0.764257,0.788438,0.903453,0.805165,0.0201162,2.256,0.0714163,6.03022,-0.0412632,0.901515,6.07165,-0.656093,0.137799,0.700675,1.00668,-0.0501601,0.857444,-1.75469,0.37129,0.956464,0.0873914,0.47482,0.914301,0.316869,0.0887357
25.7643,0.999961,0.000751098,10,1023,0,-14.6013,0.600518,0.0940002,0.611955,0.858512,1.02745,0.863826,0.161621,2.15385,0.492081,6.66693,-0.0366918,0.88804,5.65104,-0.449916,0.13615,1.05943,1.18969,-0.00590656,0.737003,-1.7102,0.398132,0.853972,0.0770726,0.355746,0.962841,0.271403,0.081912
23.9627,0.999997,0.000751098,10,1023,0,-18.6683,0.403524,0.0795645,0.641172,0.889391,0.842104,0.754424,0.169066,2.17189,0.287589,5.33288,-0.0203224,0.931335,5.9588,-0.523169,0.120383,1.22986,1.22988,0.00871336,0.73683,-1.769,0.398039,0.880185,0.0742955,0.435664,0.990883,0.267655,0.0864456
23.8611,0.999964,0.000751098,10,1023,0,-12.0986,0.487144,0.0735806,0.501984,0.964298,1.10601,0.580796,0.211961,1.72507,0.202714,6.64836,-0.0137213,1.01906,5.43054,-0.490652,0.0990585,1.18901,1.17191,-0.0137545,0.751295,-1.77656,0.424229,0.855877,0.0531905,0.470976,0.969577,0.272441,0.0972667
21.2183,0.999987,0.000751098,10,1023,0,-7.81867,0.473281,0.0568583,0.582015,0.828745,0.663316,0.645859,0.0843354,2.16353,0.825355,8.90974,-0.0260667,1.00333,4.85633,-0.340124,0.124995,1.18131,1.24604,-0.00306657,0.798245,-1.89935,0.415703,0.908086,0.0822563,0.432102,0.936567,0.20738,0.111605
21.102,0.999999,0.000751098,10,1023,0,-4.87486,0.39582,0.0709355,0.596857,0.627932,0.841291,0.517306,0.152826,1.61861,1.22423,8.62991,-0.0416373,1.06515,4.63931,-0.33325,0.15622,1.13072,1.26668,-0.0273933,0.959322,-1.87273,0.385286,0.864666,0.118669,0.405678,0.933578,0.258852,0.172881
21.6771,0.999987,0.000751098,10,1023,0,-3.12016,0.57647,0.0574968,0.47988,0.589832,0.718301,0.345355,0.140457,1.67465,1.66416,9.07148,-0.0688834,1.05973,4.41272,-0.48408,0.152007,1.57867,1.07663,-0.0101211,0.931371,-1.89674,0.381904,0.858122,0.137538,0.342824,0.867725,0.311895,0.13617
17.5552,0.999993,0.000751098,10,1023,0,-7.34993,0.369409,0.0783408,1.09991,0.659625,0.632225,0.462689,0.104314,1.27704,2.2198,5.35174,-0.0678115,1.00764,3.72182,-0.47577,0.2047,2.46609,0.985969,-0.0866772,0.79196,-2.05296,0.507906,0.872002,0.1287,0.378058,0.87633,0.286562,0.176758
