1: R='1.0E-7'
2: R='9.901474978332534'
3: R='3.4827173879469178'
4: R='5.048703645553973'
5: R='5.597701698622914'
6: R='0.6625671364199837'
7: R='0.3967972575551781'
8: R='4.950654876653332'
9: R='4.6060871507550045'
10: R='1.520276835487304'
11: R='1.499405994963132'
12: R='1.6095073155974136'
13: R='1.5169996256042242'
14: R='3.8738575435412046'
15: R='1.5178882593473009'
16: R='1.1536884460710348'
17: R='1.514625452947022'
18: R='9.171404833821414'
19: R='1.5142165673887868'
20: R='5.663647569738259'
21: R='1.5141780890185135'
22: R='0.18085184217029585'
23: R='1.5193971962661768'
24: R='9.41250541520114'
25: R='1.5186735229161719'
26: R='6.162441591439928'
27: R='7.635079129306157'
28: R='2.401657355133193'
29: R='7.611339287141714'
30: R='6.845409913910697'
31: R='7.626619823957853'
32: R='1.774010395122232'
33: R='9.317926381207577'
34: R='9.039420069791447'
35: R='9.317283466918157'
36: R='6.692213570693868'
37: R='9.322431681195178'
38: R='8.963817020325457'
39: R='9.321549560820449'
40: R='2.994874553182223'
41: R='9.320650925416071'
42: R='1.0622442453504335'
43: R='9.321858589945109'
44: R='3.3643058625450535'
45: R='7.110824459021069'
46: R='3.367336104436067'
47: R='5.835921792148735'
48: R='3.369813497697885'
49: R='7.670378539602606'
50: R='3.3681584636673203'
51: R='4.537824416278109'
52: R='3.3777028581795547'
53: R='0.31868204511789733'
54: R='3.365066031577678'
55: R='7.309646235169764'
56: R='1.69163923177222'
57: R='7.311230346566759'
58: R='2.3799097315111344'
59: R='7.314131449811205'
60: R='9.929978533663833'
61: R='7.311440017542879'
62: R='1.3223012620889159'
63: R='7.309583566769662'
64: R='2.571746756007409'
65: R='7.3110895902264295'
66: R='9.909542589318663'
67: R='4.2673809125055735'
68: R='9.90874539821679'
69: R='4.114532743252416'
70: R='9.912308115189225'
71: R='1.687438798297298'
72: R='9.913664461550775'
73: R='7.565094792874557'
74: R='9.904359943215677'
75: R='6.471128111044146'
76: R='9.906384426171165'
77: R='9.285314921980836'
78: R='1.6056939422892949'
79: R='9.28352739644216'
80: R='9.73826630772833'
81: R='9.284009091232834'
82: R='5.125724134761103'
83: R='9.280264787334215'
84: R='5.312382520074133'
85: R='9.277162821727845'
86: R='9.880716466820594'
87: R='9.277358586857225'
88: R='9.310555412092961'
89: R='2.770024115219108'
90: R='9.310467154809709'
91: R='0.5002973499767511'
92: R='9.308526797994192'
93: R='0.2193169350836632'
94: R='9.31196509561142'
95: R='6.45763447730479'
96: R='9.312023943758826'
97: R='2.762656632736664'
98: R='9.305374973927982'
99: R='9.787206239372491'
100: R='6.17910604243415'
