Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,0,0.0,SAT,,0.641,
2,2,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,1,0.0,SAT,,0.559,
3,3,1,27.972028,0,1.7976931348623157E308,-1,0.0,0.0,1,27.972028,1,0.0,SAT,,0.615,
4,4,1,27.972028,0,1.7976931348623157E308,-1,0.0,0.0,1,27.972028,1,0.0,SAT,,0.584,
5,5,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,1,0.0,SAT,,0.608,
6,6,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.617,
7,7,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.61,
8,8,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.691,
9,9,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.649,
10,10,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,1,0.0,SAT,,0.583,
11,11,1,33.566434,0,1.7976931348623157E308,-1,0.0,0.0,1,33.566434,1,0.0,SAT,,0.558,
12,12,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.634,
13,13,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,2,0.0,SAT,,0.584,
14,14,1,32.167832,0,1.7976931348623157E308,-1,0.0,0.0,1,32.167832,2,0.0,SAT,,0.636,
15,15,1,34.265734,0,1.7976931348623157E308,-1,0.0,0.0,1,34.265734,2,0.0,SAT,,0.586,
16,16,1,35.664336,0,1.7976931348623157E308,-1,0.0,0.0,1,35.664336,2,0.0,SAT,,0.61,
17,17,1,34.615385,0,1.7976931348623157E308,-1,0.0,0.0,1,34.615385,2,0.0,SAT,,0.585,
18,18,1,31.118881,0,1.7976931348623157E308,-1,0.0,0.0,1,31.118881,2,0.0,SAT,,0.64,
19,19,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,2,0.0,SAT,,0.634,
20,20,1,28.321678,0,1.7976931348623157E308,-1,0.0,0.0,1,28.321678,2,0.0,SAT,,0.635,
21,21,1,34.265734,0,1.7976931348623157E308,-1,0.0,0.0,1,34.265734,2,0.0,SAT,,0.636,
22,22,1,31.118881,0,1.7976931348623157E308,-1,0.0,0.0,1,31.118881,2,0.0,SAT,,0.61,
