good,bad,predictions,truth
0.0,1.0,bad,good
1.0,0.0,good,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
1.0,0.0,good,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
1.0,0.0,good,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
1.0,0.0,good,good
1.0,0.0,good,good
1.0,0.0,good,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.0,1.0,bad,good
1.0,0.0,good,good
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
1.0,0.0,good,bad
1.0,0.0,good,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
0.0,1.0,bad,bad
