hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed,predictions,truth
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hid
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,hod,hod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hud,hud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,hod,hod
0.0,0.0,0.0,0.019230769230769232,0.7884615384615384,0.1346153846153846,0.057692307692307696,0.0,0.0,0.0,0.0,hYd,hYd
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hYd
0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.18181818181818182,0.0,0.045454545454545456,hOd,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hud,hud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hod,hod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,hUd,hud
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,0.0,0.019230769230769232,0.7884615384615384,0.1346153846153846,0.057692307692307696,0.0,0.0,0.0,0.0,hYd,hYd
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hid,hid
0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216,hOd,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,hUd,hUd
0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,hud,hud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hed,hed
0.0,0.0,0.0,0.019230769230769232,0.7884615384615384,0.1346153846153846,0.057692307692307696,0.0,0.0,0.0,0.0,hYd,hYd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0,hod,hod
0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.18181818181818182,0.0,0.045454545454545456,hOd,hUd
0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hEd,hEd
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hod,hod
0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,hud,hud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hed,hed
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hEd,hEd
0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216,hOd,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0,hod,hUd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,hod,hud
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hid,hid
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hYd
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,had,had
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,hed,hed
0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,hod,hod
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hEd,hEd
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,hOd,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,hod,hUd
0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,hud,hud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,hed,hed
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hYd
0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.18181818181818182,0.0,0.045454545454545456,hOd,hod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,hed,hed
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,hod,hod
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hEd,hEd
0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,hed,hOd
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hUd
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,had,had
0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,hed,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hod,hod
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hUd
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hid,hid
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,hOd,hOd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hod,hod
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,hed,hed
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hEd,hEd
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,had
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hud,hud
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hid,hid
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,had,had
0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,hOd,hOd
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,had,hed
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hid,hid
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hAd,hAd
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hYd,hYd
0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,hOd,hod
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hUd
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hId,hId
